"subplot_id","year","speriod","dwd_fuel_10h","dwd_fuel_100h","dwd_fuel_1000h_s","dwd_fuel_1000h_r","tree_cover_ttl","tree_cvr_CELE3","tree_cvr_JUOC","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","tree_cvr_PIPO","rcode","scode","pcode","ptype","sp_number","treatment"
"JP-GR-BC006","06","001",1843,2647,3368,0,6.1,0,0,4.4,1.7,0,0,"JP","GR","B","CP","006","FI"
"JP-GR-BC006","08","001",929,1434,0,0,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","006","FI"
"JP-GR-BC006","09","001",69,0,0,0,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","006","FI"
"JP-GR-BC006","10","001",610,1323,0,0,0,0,0,0,0,0,0,"JP","GR","B","CP","006","FI"
"JP-GR-BC006","13","001",347,551,0,0,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","006","FI"
"JP-GR-BC006","17","001",568,772,266,200,0,0,0,0,0,0,0,"JP","GR","B","CP","006","FI"
"JP-GR-BC009","06","001",402,1323,1483,1751,12.2,0,0,1.5,10.7,0,0,"JP","GR","B","CP","009","FI"
"JP-GR-BC009","08","001",1067,772,0,0,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","009","FI"
"JP-GR-BC009","09","001",638,772,0,0,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","009","FI"
"JP-GR-BC009","10","001",776,1213,329,0,0,0,0,0,0,0,0,"JP","GR","B","CP","009","FI"
"JP-GR-BC009","13","001",194,441,398,0,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","009","FI"
"JP-GR-BC009","17","001",998,1434,1375,0,1.5,0,0,0,1.5,0,0,"JP","GR","B","CP","009","FI"
"JP-GR-BC013","06","001",1344,2206,5302,0,9.7,0,0,6.8,2.9,0,0,"JP","GR","B","CP","013","FI"
"JP-GR-BC013","08","001",1067,1103,0,0,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","013","FI"
"JP-GR-BC013","09","001",236,331,0,0,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","013","FI"
"JP-GR-BC013","10","001",832,1213,0,0,0,0,0,0,0,0,0,"JP","GR","B","CP","013","FI"
"JP-GR-BC013","13","001",430,221,0,0,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","013","FI"
"JP-GR-BC013","17","001",901,1985,0,760,0,0,0,0,0,0,0,"JP","GR","B","CP","013","FI"
