"subplot_id","year","speriod","tree_ltr_ld","tree_duff_ld","tree_ltr_depth","tree_duff_depth","tree_ltr_bulkd","tree_duff_bulkd","tree_cover_ttl","tree_cvr_CELE3","tree_cvr_JUOC","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","tree_cvr_PIPO","live_tree_ltr_duff_ld","dead_tree_ltr_duff_ld","tree_ltr_duff_ld","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"JP-GR-BC006","06","001",3469,NA,3.2,0,10.8,NA,6.1,0,0,4.4,1.7,0,0,NA,NA,NA,"JP","GR","B","CP","006","FI","1"
"JP-GR-BC006","08","001",1683,NA,1.2,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","006","FI","1"
"JP-GR-BC006","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","B","CP","006","FI","1"
"JP-GR-BC006","17","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,"JP","GR","B","CP","006","FI","1"
"JP-GR-BC009","06","001",4691,NA,2.7,0,17.4,NA,12.2,0,0,1.5,10.7,0,0,NA,NA,NA,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC009","08","001",3976,NA,1.6,0,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC009","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC009","17","001",NA,NA,NA,NA,NA,NA,1.5,0,0,0,1.5,0,0,NA,1191,1191,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC013","06","001",6777,1128,2.9,0.2,23.4,56.4,9.7,0,0,6.8,2.9,0,0,NA,NA,NA,"JP","GR","B","CP","013","FI","1"
"JP-GR-BC013","08","001",2882,NA,1.3,0,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","013","FI","1"
"JP-GR-BC013","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","B","CP","013","FI","1"
"JP-GR-BC013","17","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,"JP","GR","B","CP","013","FI","1"
"JP-GR-BC014","06","001",6480,NA,2.2,0,29.5,NA,16.8,0,0,8.6,8.2,0,0,NA,NA,NA,"JP","GR","B","CP","014","FI","2"
"JP-GR-BC014","08","001",5939,NA,1.8,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","014","FI","2"
"JP-GR-BC014","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","B","CP","014","FI","2"
"JP-GR-BC014","17","001",NA,NA,NA,NA,NA,NA,3.4,0,0,0,3.4,0,0,NA,0,0,"JP","GR","B","CP","014","FI","2"
"JP-GR-BC018","06","001",5683,0,2.8,0.1,20.3,0,11.8,0,0,0.4,11.4,0,0,NA,NA,NA,"JP","GR","B","CP","018","FI","2"
"JP-GR-BC018","08","001",2262,NA,1.2,0,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","018","FI","2"
"JP-GR-BC018","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","B","CP","018","FI","2"
"JP-GR-BC018","17","001",NA,NA,NA,NA,NA,NA,3.2,0,0,0,3.2,0,0,NA,618,618,"JP","GR","B","CP","018","FI","2"
"JP-GR-BC020","06","001",6327,NA,4.7,0,13.5,NA,8.6,0,0,3.1,5.5,0,0,NA,NA,NA,"JP","GR","B","CP","020","FI","1"
"JP-GR-BC020","08","001",1177,NA,0.9,0,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","020","FI","1"
"JP-GR-BC020","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","B","CP","020","FI","1"
"JP-GR-BC020","17","001",NA,NA,NA,NA,NA,NA,2.4,0,0,0,2.4,0,0,NA,683,683,"JP","GR","B","CP","020","FI","1"
"JP-GR-BC026","06","001",17475,1518,3.9,0.3,44.8,50.6,22.2,0,0,6.6,15.6,0,0,NA,NA,NA,"JP","GR","B","CP","026","FI","2"
"JP-GR-BC026","08","001",4748,NA,1.5,0,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","026","FI","2"
"JP-GR-BC026","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","B","CP","026","FI","2"
"JP-GR-BC026","17","001",NA,NA,NA,NA,NA,NA,1.6,0,0,0,1.6,0,0,NA,343,343,"JP","GR","B","CP","026","FI","2"
"JP-GR-BC027","06","001",2101,89,2.5,0.1,8.4,8.9,4.9,0,0,2,2.9,0,0,NA,NA,NA,"JP","GR","B","CP","027","FI","1"
"JP-GR-BC027","08","001",719,NA,0.9,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","027","FI","1"
"JP-GR-BC027","10","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,"JP","GR","B","CP","027","FI","1"
"JP-GR-BC027","17","001",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,1,1,"JP","GR","B","CP","027","FI","1"
