"subplot_id","year","speriod","shrub_bio_ttl","shrub_1hr","shrub_10hr","shrub_bio_ttl_ARAR8","shrub_1hr_ARAR8","shrub_10hr_ARAR8","shrub_bio_ttl_ARNO4","shrub_1hr_ARNO4","shrub_10hr_ARNO4","shrub_bio_ttl_ARTRW8","shrub_1hr_ARTRW8","shrub_10hr_ARTRW8","shrub_bio_ttl_ATCO","shrub_1hr_ATCO","shrub_10hr_ATCO","shrub_bio_ttl_CHVI8","shrub_1hr_CHVI8","shrub_10hr_CHVI8","shrub_bio_ttl_EPNE","shrub_1hr_EPNE","shrub_10hr_EPNE","shrub_bio_ttl_EPVI","shrub_1hr_EPVI","shrub_10hr_EPVI","shrub_bio_ttl_ERCI6","shrub_1hr_ERCI6","shrub_10hr_ERCI6","shrub_bio_ttl_ERNA10","shrub_1hr_ERNA10","shrub_10hr_ERNA10","shrub_bio_ttl_ERSP7","shrub_1hr_ERSP7","shrub_10hr_ERSP7","shrub_bio_ttl_GRSP","shrub_1hr_GRSP","shrub_10hr_GRSP","shrub_bio_ttl_GUSA2","shrub_1hr_GUSA2","shrub_10hr_GUSA2","shrub_bio_ttl_PUST","shrub_1hr_PUST","shrub_10hr_PUST","shrub_bio_ttl_PUTR2","shrub_1hr_PUTR2","shrub_10hr_PUTR2","shrub_bio_ttl_TEGL","shrub_1hr_TEGL","shrub_10hr_TEGL","dwd_fuel_10h","dwd_fuel_100h","dwd_fuel_1000h_s","dwd_fuel_1000h_r","herb_fuel_live_wd","herb_fuel_dead_wd","ispace_litter_load_wd","herb_fuel_stand_wd","shrub_bulk_dns","shrub_bd_ARAR8","shrub_bd_ARNO4","shrub_bd_ARTRW8","shrub_bd_ATCO","shrub_bd_CHVI8","shrub_bd_EPNE","shrub_bd_EPVI","shrub_bd_ERCI6","shrub_bd_ERNA10","shrub_bd_ERSP7","shrub_bd_GRSP","shrub_bd_GUSA2","shrub_bd_PUST","shrub_bd_PUTR2","shrub_bd_TEGL","avg_grass_ht","tree_dns_ttl_JUOS","tree_dns_lt5_JUOS","tree_dns_5_50_JUOS","tree_dns_gt50_JUOS","tree_dns_ttl_PIED","tree_dns_lt5_PIED","tree_dns_5_50_PIED","tree_dns_gt50_PIED","tree_dns_ttl_PIMO","tree_dns_lt5_PIMO","tree_dns_5_50_PIMO","tree_dns_gt50_PIMO","tree_dns_ttl_JUOC","tree_dns_lt5_JUOC","tree_dns_5_50_JUOC","tree_dns_gt50_JUOC","shrub_dns_ARTRW8","shrub_dns_ATCO","shrub_dns_CHVI8","shrub_dns_EPVI","shrub_dns_ERNA10","shrub_dns_ERSP7","shrub_dns_GUSA2","shrub_dns_PUST","shrub_dns_PUTR2","shrub_dns_TECA2","shrub_ht_avg_ARAR8","shrub_ht_avg_ARNO4","shrub_ht_avg_ARTRW8","shrub_ht_avg_ATCO","shrub_ht_avg_CHVI8","shrub_ht_avg_EPNE","shrub_ht_avg_EPVI","shrub_ht_avg_ERNA10","shrub_ht_avg_ERSP7","shrub_ht_avg_GRSP","shrub_ht_avg_GUSA2","shrub_ht_avg_PUST","shrub_ht_avg_PUTR2","shrub_ht_avg_TEGL","grass_ht_avg","forb_ht_avg","can_cover_ACHY","can_cover_ACTH7","can_cover_AGCR","can_cover_ALDE","can_cover_ALSI8","can_cover_ANBR4","can_cover_ARABIS","can_cover_ARHO2","can_cover_ARPU9","can_cover_ARTRW8","can_cover_ASCA9","can_cover_ASEU4","can_cover_ASLE8","can_cover_ASNE6","can_cover_ASTRA","can_cover_ASUT","can_cover_ATCO","can_cover_BOGR2","can_cover_BRTE","can_cover_CAAN7","can_cover_CACR11","can_cover_CADO2","can_cover_CANU3","can_cover_CETE5","can_cover_CHDO","can_cover_CHER2","can_cover_CHFE3","can_cover_CHTE2","can_cover_CHVI8","can_cover_CRAC2","can_cover_CRGR3","can_cover_CRHU2","can_cover_CRYPT","can_cover_CT","can_cover_CW","can_cover_D","can_cover_DEPI","can_cover_DESO2","can_cover_DF","can_cover_DG","can_cover_DS","can_cover_DT","can_cover_EL","can_cover_ELEL5","can_cover_EPBR3","can_cover_EPNE","can_cover_EPVI","can_cover_ERAP","can_cover_ERCA8","can_cover_ERCI6","can_cover_ERCOC3","can_cover_ERDI4","can_cover_ERIGE2","can_cover_ERIOG","can_cover_ERNA10","can_cover_EROV","can_cover_ERSP3","can_cover_ERSP7","can_cover_GARA","can_cover_GARA2","can_cover_GIIN2","can_cover_GUSA2","can_cover_HECO26","can_cover_HYFI","can_cover_IPCO5","can_cover_JUOS","can_cover_KOMA","can_cover_L","can_cover_LABR","can_cover_LAOC3","can_cover_LASE","can_cover_LC","can_cover_LEMO2","can_cover_LILE3","can_cover_LIPU11","can_cover_LIRU4","can_cover_LODI","can_cover_LOFO","can_cover_LUCA","can_cover_M","can_cover_MACA2","can_cover_MEAL6","can_cover_MIGR","can_cover_OECA10","can_cover_OPPO","can_cover_PAMU11","can_cover_PASM","can_cover_PECO7","can_cover_PEJA2","can_cover_PEPU7","can_cover_PHAU3","can_cover_PHHO","can_cover_PHLO2","can_cover_PHNE5","can_cover_PIED","can_cover_PIMO","can_cover_PLJA","can_cover_PLSP7","can_cover_POBU","can_cover_POSE","can_cover_PSSA2","can_cover_PSSP6","can_cover_PUST","can_cover_PUTR2","can_cover_R","can_cover_S","can_cover_SIAL2","can_cover_SPGR2","can_cover_SPMU2","can_cover_STCO6","can_cover_STEX","can_cover_TAOF","can_cover_TEGL","can_cover_TRDU","can_cover_UKDB2","can_cover_UKHB3","can_cover_VETH","can_cover_VUOC","can_cover_W","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","fol_cover_pt_tree","fol_cover_pt_shrub","fol_cover_pt_pgrass","fol_cover_pt_pforb","fol_cover_pt_agrass","fol_cover_pt_aforb","fol_cover_pt_forb","litter_cover","bare_gnd_cover","live_tree_ltr_duff_ld","dead_tree_ltr_duff_ld","tree_ltr_duff_ld","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"JP-GR-BC006","17","001",1762,794,638,0,0,0,0,0,0,1631,689,638,0,0,0,130,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,772,266,200,453,24,173,NA,0.2966,0,0,0.255,0,0.0416,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8418,0,3423,0,0,0,0,0,0,0,0,0,39.5,0,25.7,0,0,0,0,0,0,0,0,0,23,6.5,9.3,0,0,0.3,0,0,0,0,0,8.7,0,0.3,0,0,0,0,0,0,22.3,0,0,0,0,0,0,0.7,0,0,3,0,0,0,0,0,0,0,0,0,2.7,5.7,3.3,3.3,0,9.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,49.7,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,2,0,5.7,0,0,19.3,73.3,3.3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,45.3,1.7,22.3,3.7,0,50.3,92.7,NA,NA,0,"JP","GR","B","CP","006","FI","1"
"JP-GR-BC009","17","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,1434,1375,0,845,29,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.125,0,0,0,0,66,0,56,10,0,0,0,0,0,0,0,0,2020,0,14366,0,0,0,2301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8,9.4,10.7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22.7,0,0,0,0,0,0.3,0,0,0,11.3,0,0,1.3,0,0,0,9,0,0.3,0,4.3,1,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,21.3,0,1,0,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,1.3,0,0,0.3,0,0,0,0.3,0,0,4.7,83,4.3,0,0,0,0,0,0,0,0,0,0,0,2.7,1.5,0,1.5,0,1.3,16,45,5.7,22.7,4.7,0,28.3,87.7,NA,1191,1191,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC009","17","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,1434,1375,0,845,29,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.125,0,0,0,0,66,0,56,10,0,0,0,0,0,0,0,0,2020,0,14366,0,0,0,2301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8,9.4,10.7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22.7,0,0,0,0,0,0.3,0,0,0,11.3,0,0,1.3,0,0,0,9,0,0.3,0,4.3,1,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,21.3,0,1,0,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,1.3,0,0,0.3,0,0,0,0.3,0,0,4.7,83,4.3,0,0,0,0,0,0,0,0,0,0,0,2.7,1.5,0,1.5,0,1.3,16,45,5.7,22.7,4.7,0,28.3,87.7,NA,1191,1191,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC009","17","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,1434,1375,0,845,29,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.125,0,0,0,0,66,0,56,10,0,0,0,0,0,0,0,0,2020,0,14366,0,0,0,2301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8,9.4,10.7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22.7,0,0,0,0,0,0.3,0,0,0,11.3,0,0,1.3,0,0,0,9,0,0.3,0,4.3,1,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,21.3,0,1,0,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,1.3,0,0,0.3,0,0,0,0.3,0,0,4.7,83,4.3,0,0,0,0,0,0,0,0,0,0,0,2.7,1.5,0,1.5,0,1.3,16,45,5.7,22.7,4.7,0,28.3,87.7,NA,1191,1191,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC009","17","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,1434,1375,0,845,29,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.125,0,0,0,0,66,0,56,10,0,0,0,0,0,0,0,0,2020,0,14366,0,0,0,2301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8,9.4,10.7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22.7,0,0,0,0,0,0.3,0,0,0,11.3,0,0,1.3,0,0,0,9,0,0.3,0,4.3,1,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,21.3,0,1,0,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,1.3,0,0,0.3,0,0,0,0.3,0,0,4.7,83,4.3,0,0,0,0,0,0,0,0,0,0,0,2.7,1.5,0,1.5,0,1.3,16,45,5.7,22.7,4.7,0,28.3,87.7,NA,1191,1191,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC013","17","001",1887,674,388,0,0,0,0,0,0,1374,277,388,0,0,0,513,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901,1985,0,760,739,27,117,NA,0.2547,0,0,0.0999,0,0.1548,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5724,0,10269,0,0,0,1459,0,0,0,0,0,47.1,0,26.5,0,0,0,0,0,0,0,0,0,27.4,27.5,7,0,0,0.3,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,9.7,0,0,0.3,0,0,0,1.3,0,0.3,1.7,26.3,3.3,5.7,0,18.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,25,0,0,0,0,50.3,0,0.3,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,1,0.7,0,0,1.7,0,0,0,0,1.7,0,5,0,0,11.7,79.3,1.3,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,1.3,14.7,51.3,3,33,2.7,0,52.7,91,NA,NA,0,"JP","GR","B","CP","013","FI","1"
"JP-GR-BC014","16","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2120,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,8.3,4.3,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,14,0,0,0,0,0.3,0,0,0,0,6.7,0,0.3,0,0,0,0,0,0,0.3,0.3,5,5,3,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.7,0,0,18.7,80,0.3,0,0,0,0,0,0,0,0,0,0,0,5.3,NA,NA,NA,NA,1.3,11.3,7.3,0,14,2.7,0,42.3,98.7,NA,NA,NA,"JP","GR","B","CP","014","FI","2"
"JP-GR-BC014","17","001",3618,1659,1085,0,0,0,0,0,0,3064,1252,1085,0,0,0,555,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,1434,1858,0,251,59,147,NA,0.76,0,0,0.6099,0,0.1501,0,0,0,0,0,0,0,0,0,0,8.375,0,0,0,0,76,0,56,20,0,0,0,0,0,0,0,0,9652,0,17621,0,0,0,0,0,0,0,0,0,31.1,0,27.1,0,0,0,0,0,0,0,0,0,13.1,5.8,5.7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,27,0.3,0,0,0,0.3,0,0,0,0,13.3,0,0,0,0,0,0,4.3,0,0,0.3,11.3,4.3,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,22.7,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0.3,0,0,13.3,75,1,0,0,0,0,0,0,0,0,0,0,0,10.3,3.4,0,3.4,0,1,16,19.7,0.3,27,1.3,0,33.7,88.3,NA,0,0,"JP","GR","B","CP","014","FI","2"
"JP-GR-BC018","17","001",4059,916,819,0,0,0,0,0,0,3504,597,819,0,0,0,554,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1635,882,842,0,336,69,1334,NA,0.4381,0,0,0.3187,0,0.1194,0,0,0,0,0,0,0,0,0,0,13.625,0,0,0,0,919,889,0,30,0,0,0,0,0,0,0,0,12458,0,7464,0,0,0,2301,0,0,0,0,0,31.6,0,26.6,0,0,0,0,0,0,0,0,0,19.9,8.4,6.3,0,0,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,24.3,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0.7,0,0,0.3,8.3,8,0.7,0,8,0,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,14,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3,0,1,0,0,0,0,3,0,0,3.3,0,0,0,0,1.3,0,2.3,0,0,9.3,84.3,0,0,0,0,0,0,0,0,0,0,0,0.3,2.3,3.2,0,3.2,0,2.7,12.7,32,3.7,24.7,0.3,0,23.7,93.7,NA,618,618,"JP","GR","B","CP","018","FI","2"
"JP-GR-BC020","17","001",4132,793,1106,0,0,0,0,0,0,3984,691,1106,0,0,0,148,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,221,595,0,1277,61,608,NA,0.4374,0,0,0.4036,0,0.0338,0,0,0,0,0,0,0,0,0,0,15.8125,0,0,0,0,76,0,56,20,0,0,0,0,0,0,0,0,14871,0,11953,0,0,0,5612,0,0,0,0,0,30.8,0,30.1,0,0,0,0,0,0,0,0,0,28.5,3.1,3,0,0,0.3,0,0,0,0,0,13.3,0,0,0,0.3,0,0,0,0,19,0,0,0,0,0.3,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0.3,13.3,6,1,0,7.3,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,7,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,6,0,18.3,0,0,18,73,0,0,0,0,0,0,0,0,0,0,0,0,2.7,2.4,0,2.4,0,3,20.7,39.3,5.3,19,0.7,0,38.7,91,NA,683,683,"JP","GR","B","CP","020","FI","1"
