"subplot_id","year","speriod","shrub_bio_ttl","shrub_1hr","shrub_10hr","dwd_fuel_10h","dwd_fuel_100h","dwd_fuel_1000h_s","dwd_fuel_1000h_r","herb_fuel_live_wd","herb_fuel_dead_wd","ispace_litter_load_wd","herb_fuel_stand_wd","shrub_bulk_dns","shrub_bd_ARTRW8","shrub_bd_CHVI8","shrub_bd_EPVI","shrub_bd_ERSP7","shrub_bd_GRSP","shrub_bd_GUSA2","shrub_bd_PUST","avg_grass_ht","tree_dns_ttl_JUOS","tree_dns_lt5_JUOS","tree_dns_5_50_JUOS","tree_dns_gt50_JUOS","tree_dns_ttl_PIED","tree_dns_lt5_PIED","tree_dns_5_50_PIED","tree_dns_gt50_PIED","tree_dns_ttl_PIMO","tree_dns_lt5_PIMO","tree_dns_5_50_PIMO","tree_dns_gt50_PIMO","tree_dns_ttl_JUOC","tree_dns_lt5_JUOC","tree_dns_5_50_JUOC","tree_dns_gt50_JUOC","shrub_dns_ARTRW8","shrub_dns_CHVI8","shrub_dns_EPVI","shrub_dns_ERSP7","shrub_dns_GUSA2","shrub_dns_PUST","shrub_ht_avg_ARTRW8","shrub_ht_avg_CHVI8","shrub_ht_avg_EPVI","shrub_ht_avg_ERSP7","shrub_ht_avg_GRSP","shrub_ht_avg_GUSA2","shrub_ht_avg_PUST","grass_ht_avg","forb_ht_avg","can_cover_pt_tree","can_cover_pt_shrub","can_cover_pt_pgrass","can_cover_pt_pforb","can_cover_pt_agrass","can_cover_pt_aforb","can_cover_pt_forb","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","litter_cover","bare_gnd_cover","live_tree_ltr_duff_ld","dead_tree_ltr_duff_ld","tree_ltr_duff_ld","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"JP-GR-CC003","17","001",930,200,271,1109,1764,0,631,85,11,1051,NA,0.0747,0.0747,0,0,0,0,0,0,3.125,283,0,0,283,702,0,167,535,0,0,0,0,0,0,0,0,3591,1459,0,0,0,0,44.9,0,0,0,0,0,0,7.4,2.2,49.7,2.7,2.7,1,0.3,0,0,45.9,16.9,29,0,50,71.7,33425,NA,33425,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC004","17","001",-174,-60,-41,679,882,740,2306,40,3,1251,NA,0.0309,0.0259,0.005,0,0,0,0,0,2.8125,1131,889,0,242,888,0,444,444,0,0,0,0,0,0,0,0,1852,6173,0,0,224,0,28.7,18.6,0,0,0,23,0,8.3,3,30.7,5.3,1,3,0,1,0,27.3,11.1,16.2,0,39.3,90.3,18641,NA,18641,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC006","17","001",-866,-400,-289,693,772,477,513,141,13,29,NA,0.1796,0.153,0.0266,0,0,0,0,0,6.0625,430,0,278,152,1571,889,278,404,0,0,0,0,0,0,0,0,5836,4602,0,0,2806,0,32.3,20.3,0,0,0,25.8,0,14.3,1.8,26,8.3,12.3,2.7,4,0,0,28.3,6.8,21.5,0,34.7,77.7,21523,NA,21523,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC007","17","001",NA,NA,NA,388,1323,398,0,5,0,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8125,253,0,0,253,343,0,0,343,0,0,0,0,0,0,0,0,617,730,0,0,0,0,0,0,0,0,0,0,0,15.3,3.2,38.7,0.3,0,0.7,0,1,0,41.6,17,24.6,0,54.3,79.7,19051,NA,19051,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC008","17","001",-60,-19,0,1234,1985,211,200,80,8,0,NA,0.0112,0,0.0112,0,0,0,0,0,4.875,2016,1778,56,182,535,0,222,313,0,0,0,0,0,0,0,0,1908,5387,0,0,673,0,20,17.8,0,0,60,21,0,7.4,5.1,42,4,9,0.7,0.7,0.7,0,30.9,14.2,16.7,0,61.7,67,22897,NA,22897,"JP","GR","C","CP","008","CO","2"
"JP-GR-CC013","17","001",-516,-137,-139,333,772,0,772,8,3,99,NA,0.0661,0.0661,0,0,0,0,0,0,6.6875,222,0,111,111,687,0,111,576,0,0,0,0,0,0,0,0,3086,168,0,0,2020,0,31.7,0,0,0,0,25.4,0,11.5,3.8,49,2,5.7,1,4,0.3,0,55.1,15.8,39.3,0,58.3,68,23157,NA,23157,"JP","GR","C","CP","013","CO","3"
"JP-GR-CC016","17","001",1130,471,413,1220,1875,266,920,11,0,904,NA,0.1731,0.1731,0,0,0,0,0,0,7.75,131,0,0,131,374,0,0,374,10,0,0,10,0,0,0,0,4994,337,0,0,0,0,39.2,17,0,0,0,0,0,12,8.7,41.3,4.7,5.3,0.3,0.7,0.7,0,36.1,7.9,27.7,0.5,64,76,17594,NA,17594,"JP","GR","C","CP","016","CO","3"
"JP-GR-CC017","16","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,5502,115,NA,NA,NA,NA,NA,NA,NA,NA,7.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,10.4,4.3,25.3,11,9.3,5.3,0,0,0,NA,NA,NA,NA,60.3,92.3,NA,NA,NA,"JP","GR","C","CP","017","CO","2"
"JP-GR-CC017","17","001",-623,-301,-249,444,441,161,575,192,0,64,NA,0.1155,0.1155,0,0,0,0,0,0,7.1875,141,0,0,141,470,0,167,303,889,889,0,0,0,0,0,0,4658,0,56,0,8249,0,36.9,0,45,0,0,22.6,0,10.3,4.7,19.7,9.3,13,16,0.7,0,0,20.7,6.7,14,0,51.3,70.7,8851,NA,8851,"JP","GR","C","CP","017","CO","2"
"JP-GR-CC018","17","001",-769,-318,-269,513,772,533,358,85,13,803,NA,0.136,0.1355,5e-04,0,0,0,0,0,8.25,81,0,0,81,945,0,167,778,0,0,0,0,0,0,0,0,2750,0,0,0,337,0,33.3,18.7,0,0,0,28.3,0,12.7,6.1,51,3.3,19.7,1.7,2.7,0.3,0,60.3,14.7,45.6,0,58,57.7,30686,NA,30686,"JP","GR","C","CP","018","CO","3"
