"subplot_id","year","speriod","shrub_bio_ttl_AMAL2","shrub_1hr_AMAL2","shrub_10hr_AMAL2","shrub_bio_ttl_ARAR8","shrub_1hr_ARAR8","shrub_10hr_ARAR8","shrub_bio_ttl_ARNO4","shrub_1hr_ARNO4","shrub_10hr_ARNO4","shrub_bio_ttl_ARTRW8","shrub_1hr_ARTRW8","shrub_10hr_ARTRW8","shrub_bio_ttl_CHVI8","shrub_1hr_CHVI8","shrub_10hr_CHVI8","shrub_bio_ttl_EPVI","shrub_1hr_EPVI","shrub_10hr_EPVI","shrub_bio_ttl_ERNA10","shrub_1hr_ERNA10","shrub_10hr_ERNA10","shrub_bio_ttl_ERSP7","shrub_1hr_ERSP7","shrub_10hr_ERSP7","shrub_bio_ttl_PUTR2","shrub_1hr_PUTR2","shrub_10hr_PUTR2","shrub_bio_ttl_RHAR4","shrub_1hr_RHAR4","shrub_10hr_RHAR4","shrub_bio_ttl_RIVE","shrub_1hr_RIVE","shrub_10hr_RIVE","shrub_bio_ttl_TECA2","shrub_1hr_TECA2","shrub_10hr_TECA2","dwd_fuel_10h","dwd_fuel_100h","dwd_fuel_1000h_s","dwd_fuel_1000h_r","herb_fuel_live_wd","herb_fuel_dead_wd","ispace_litter_load_wd","herb_fuel_stand_wd","shrub_bulk_dns","shrub_bd_AMAL2","shrub_bd_ARAR8","shrub_bd_ARNO4","shrub_bd_ARTRW8","shrub_bd_CHVI8","shrub_bd_EPVI","shrub_bd_ERNA10","shrub_bd_ERSP7","shrub_bd_PUTR2","shrub_bd_RHAR4","shrub_bd_RIVE","shrub_bd_TECA2","avg_grass_height","avg_grass_ht","tree_dns_ttl_JUOS","tree_dns_lt5_JUOS","tree_dns_5_50_JUOS","tree_dns_gt50_JUOS","tree_dns_ttl_PIMO","tree_dns_lt5_PIMO","tree_dns_5_50_PIMO","tree_dns_gt50_PIMO","tree_dns_ttl_CELE3","tree_dns_lt5_CELE3","tree_dns_5_50_CELE3","tree_dns_gt50_CELE3","tree_dns_ttl_PIED","tree_dns_lt5_PIED","tree_dns_5_50_PIED","tree_dns_gt50_PIED","tree_dns_ttl_PIPO","tree_dns_lt5_PIPO","tree_dns_5_50_PIPO","tree_dns_gt50_PIPO","shrub_dns_ARAR8","shrub_dns_ARNO4","shrub_dns_ARTRW8","shrub_dns_CHVI8","shrub_dns_EPVI","shrub_dns_ERNA10","shrub_dns_ERSP7","shrub_dns_PUST","shrub_dns_PUTR2","shrub_dns_TECA2","shrub_ht_avg_AMAL2","shrub_ht_avg_ARAR8","shrub_ht_avg_ARNO4","shrub_ht_avg_ARTRW8","shrub_ht_avg_CHVI8","shrub_ht_avg_EPVI","shrub_ht_avg_ERNA10","shrub_ht_avg_ERSP7","shrub_ht_avg_PUTR2","shrub_ht_avg_RHAR4","shrub_ht_avg_RIVE","shrub_ht_avg_TECA2","grass_ht_avg","forb_ht_avg","can_cover_ACHY","can_cover_ACTH7","can_cover_ALDE","can_cover_ALYSS","can_cover_ANDI2","can_cover_ARAR8","can_cover_ARHO2","can_cover_ARMU","can_cover_ARNO4","can_cover_ARTRW8","can_cover_ASCA9","can_cover_ASER4","can_cover_ASEU4","can_cover_ASLE8","can_cover_ASNE6","can_cover_ASTRA","can_cover_ATCO","can_cover_BRTE","can_cover_CAAN7","can_cover_CACR11","can_cover_CADO2","can_cover_CELE3","can_cover_CETE5","can_cover_CHAL7","can_cover_CHDO","can_cover_CHFR3","can_cover_CHVI8","can_cover_COKI","can_cover_COPA3","can_cover_CORA5","can_cover_COUM","can_cover_CRAB2","can_cover_CRAC2","can_cover_CRGR3","can_cover_CRHU2","can_cover_CROC","can_cover_CRWA2","can_cover_CRYPT","can_cover_CT","can_cover_CW","can_cover_D","can_cover_DENU2","can_cover_DEPI","can_cover_DESO2","can_cover_DF","can_cover_DG","can_cover_DS","can_cover_DT","can_cover_ELEL5","can_cover_ELLAL","can_cover_EPBR3","can_cover_EPVI","can_cover_ERAP","can_cover_ERCA8","can_cover_ERCI6","can_cover_ERDEN","can_cover_ERDI4","can_cover_EREL4","can_cover_ERIGE2","can_cover_ERIOG","can_cover_ERMI4","can_cover_ERNA10","can_cover_EROV","can_cover_ERSP3","can_cover_ERSP7","can_cover_GARA","can_cover_GIIN2","can_cover_GIST","can_cover_HECO26","can_cover_HOUM","can_cover_IPCO5","can_cover_JUOC","can_cover_JUOS","can_cover_KOMA","can_cover_L","can_cover_LAOC3","can_cover_LASE","can_cover_LATE6","can_cover_LC","can_cover_LECI4","can_cover_LECO7","can_cover_LESE17","can_cover_LILE3","can_cover_LIPU11","can_cover_LIRU4","can_cover_LUARA6","can_cover_LUCA","can_cover_M","can_cover_MACA2","can_cover_MEAL6","can_cover_MIGR","can_cover_NABR","can_cover_OPPO","can_cover_ORCO5","can_cover_PAMU11","can_cover_PASM","can_cover_PEHU","can_cover_PEJA2","can_cover_PENST","can_cover_PEPU7","can_cover_PHDI3","can_cover_PHHO","can_cover_PHLO2","can_cover_PIMO","can_cover_PLSP7","can_cover_POFE","can_cover_POSE","can_cover_PSSA2","can_cover_PSSP6","can_cover_PUTR2","can_cover_R","can_cover_RICE","can_cover_RIVE","can_cover_S","can_cover_SADO4","can_cover_SIAL2","can_cover_SPGR2","can_cover_SPMU2","can_cover_TECA2","can_cover_THIN6","can_cover_TRDU","can_cover_TRGY","can_cover_UKDT2","can_cover_UKDT3","can_cover_UKHT3","can_cover_UKHT5","can_cover_W","tree_cover_ttl","tree_cvr_CELE3","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","fol_cover_pt_tree","fol_cover_pt_shrub","fol_cover_pt_pgrass","fol_cover_pt_pforb","fol_cover_pt_agrass","fol_cover_pt_aforb","fol_cover_pt_forb","litter_cover","bare_gnd_cover","live_tree_ltr_duff_ld","dead_tree_ltr_duff_ld","tree_ltr_duff_ld","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"PJ-MC-BC002","16","001",0,0,0,0,0,0,0,0,0,9697,3041,3019,133,111,0,0,0,0,0,0,0,0,0,0,414,144,139,0,0,0,0,0,0,0,0,0,776,662,533,0,235,101,115,NA,0.881,0,0,0,0.8135,0.0395,0,0,0,0.028,0,0,0,14.8125,14.8125,444,0,222,222,91,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4433,1964,0,0,0,0,561,0,0,0,0,55.9,28.1,0,0,0,76.2,0,0,0,25.6,7.3,6,2,0,0,0,0,0,0,0,12,0,0.3,0,0,0,0,0,33,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.3,0,1,0,0,0,0,0,4.7,0,0,0,0,16.7,2.3,7.3,2.3,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0.7,0,0.7,0.3,0,0,0,0,0,7.7,0,47.7,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0.7,0,0,0.7,0,13.3,4,6.7,0,0,85.7,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,5.9,0,0.1,5.3,14.7,24.3,6.7,33,2,0,50.7,92.3,NA,1075,1075,"PJ","MC","B","CP","002","FI","2"
"PJ-MC-BC003","16","001",0,0,0,0,0,0,0,0,0,98,34,45,98,77,0,0,0,0,0,0,0,0,0,0,78,27,26,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,755,152,331,NA,0.0436,0,0,0,0.0149,0.0202,0,0,0,0.0085,0,0,0,21.5,21.5,51,0,0,51,76,0,56,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403,673,0,0,0,0,112,0,0,0,0,38,38.2,0,72,0,47,0,0,0,33.8,9.3,7.3,7.7,1.7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0.7,0,0.3,0,0,0,0,0,1,0,0.3,0,0.3,13.3,1.7,6.3,3.3,0,0,0,0,0,0,0,0,0,0.3,2,0,0,0,1,0,0,0,0,0,0,0,0,3.7,0,52.7,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,4.7,0,14.7,2.7,0.7,0,0,95.3,0,0.3,0,0,0,0,0,0,0,0,0,0,2.7,1.9,0,1.8,0,0.1,2.3,8,37.3,7,44,3.3,0,55.3,96,NA,668,668,"PJ","MC","B","CP","003","FI","2"
"PJ-MC-BC004","16","001",0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,263,90,91,0,0,0,0,0,0,0,0,0,541,772,474,0,701,61,1325,NA,0.0241,0,0,0,0,0.0021,0,0,0,0.022,0,0,0,24.5,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,224,0,0,0,0,0,28.5,0,0,0,61.5,0,0,0,33,21.3,7.7,6.7,2.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,71,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0,0,0,0,0,0,0,0,0,13.7,0,2.3,11,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.7,0,13.3,1.7,4,0,0,92.3,0,0.3,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,2,37.3,5.3,71,2.7,0.3,83.7,96.3,NA,NA,0,"PJ","MC","B","CP","004","FI","2"
"PJ-MC-BC004","17","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461,1726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1875,18.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,23.5,12.9,4,0,11,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,64.7,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0.7,52.3,0,4.3,6.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,6,0,0,0,0,2,0,14.3,1.3,1.7,0,0,90.3,0,0,0,0,0,0,0,0,0,0,0,0,4.7,NA,NA,NA,NA,NA,0,2.3,26.7,8,64.7,11,0.3,86.7,92,NA,NA,NA,"PJ","MC","B","CP","004","FI","2"
"PJ-MC-BC005","16","001",0,0,0,0,0,0,0,0,0,338,119,105,530,415,0,0,0,0,0,0,0,0,0,0,354,125,114,0,0,0,0,0,0,0,0,0,485,1764,918,0,720,147,139,NA,0.1887,0,0,0,0.043,0.1148,0,0,0,0.0309,0,0,0,26.25,26.25,955,889,56,10,66,0,56,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,3311,0,0,0,0,1010,0,0,0,0,39.9,36.2,0,0,0,58.8,0,0,0,38.3,14.3,3.3,16.7,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,41.3,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,11,2,3,0,0,0,0,0.7,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0.7,0,0,0,0,0,2,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.3,0,0,2,0,13.3,3,5,0,0,89.3,0,0,0,0,0.3,0,0,0,0,0,0,0,3,1.4,0,0.8,0,0.6,1.7,11.7,35.3,5.3,41.3,1.7,0,69.3,94.3,NA,435,435,"PJ","MC","B","CP","005","FI","1"
"PJ-MC-BC005","17","001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,21.8,9.3,2.7,0,0.3,0,0,0,0,0,0.7,1,0,0,0,0,0,0,0,38.3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,3.7,0,0,0,1.3,62,0.7,5.3,2.7,0,0.3,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,67.3,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0.3,0,0.7,0,7.7,0,18.7,3.7,3.3,0,0,85,0,0.3,0,0,0,0,0,2.7,0,0,0,0,3,NA,NA,NA,NA,NA,2,10.3,31,10.7,38.3,1.3,0,69.7,88.3,NA,NA,NA,"PJ","MC","B","CP","005","FI","1"
"PJ-MC-BC006","16","001",0,0,0,0,0,0,0,0,0,378,97,110,2181,1715,0,0,0,0,0,0,0,0,0,0,88,32,27,0,0,0,0,0,0,0,0,0,693,2867,855,0,496,77,173,NA,0.4298,0,0,0,0.0259,0.3974,0,0,0,0.0065,0,0,0,24.875,24.875,51,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3086,3760,0,0,0,0,168,112,0,0,0,58.8,43.2,0,0,0,69.5,0,0,33,34.9,14.9,2,8.3,0,0,0,0,0,0,0,2.3,0,0.3,0,0,0,0.3,0,31.7,0,0,0,0,0,0,0,0,25.3,0,0,0,0,0,0,0,0.3,0,0,0,0,0,4.7,0,0,0,0,9.3,0,2,0.7,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,3.7,0,0.3,1,0.7,0,0,0,0,5.3,0,63.3,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,1,0,0.3,0,6.7,0,19,1.3,7.3,0,0,83.7,0,0,0,0,0,0,0,0,0.3,0,0,0,2.3,2.4,0,2.4,0,0,3.3,27.3,35.3,10.3,31.7,5.7,0,67.3,91,NA,348,348,"PJ","MC","B","CP","006","FI","1"
"PJ-MC-BC008","16","001",0,0,0,0,0,0,0,0,0,4069,1366,1181,977,768,0,0,0,0,0,0,0,0,0,0,233,83,72,0,0,0,0,0,0,0,0,0,1081,1985,0,0,283,48,144,NA,0.6243,0,0,0,0.4305,0.175,0,0,0,0.0188,0,0,0,25.6875,25.6875,61,0,0,61,71,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2413,3479,168,0,0,0,673,0,0,0,0,45.4,43.9,105,0,0,63.4,0,0,25,45.9,7.3,0,7.3,0.3,0,0,0,0,0,0,6,0,0,0.3,0,0,0.3,0,42.7,0,0,0,0,0,0,0,0,12.7,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,5.3,0,0,0,0.3,12.7,2.7,0,1,3.3,0,1,2,0.7,0,0,0,0,0,0,0,0,0,0.3,0,1,0,0.3,6.7,0,0,0,4.7,0,69.7,0.3,0,0,0,0.7,0,0,0.3,0,0.7,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0,9.7,0,4,0,0,12.3,0,8.3,2.3,4.7,0,0,88,0,0,0,0,0,0,0,0.3,0,0,0,0,2.3,3.9,0,2,0,1.9,5,16.7,38.7,15,42.7,2.7,0,71.3,92.7,NA,1577,1577,"PJ","MC","B","CP","008","FI","1"
"PJ-MC-BC009","16","001",0,0,0,0,0,0,0,0,0,189,68,84,434,340,0,0,0,0,0,0,0,0,0,0,157,55,52,0,0,0,0,0,0,0,0,0,887,3308,15952,0,517,301,99,NA,0.1583,0,0,0,0.0301,0.1154,0,0,0,0.0128,0,0,0,22.125,22.125,61,0,0,61,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,1178,0,0,0,0,505,0,0,0,0,36.6,30.3,0,0,0,63.5,0,0,0,33.4,17.4,3,16.7,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,36.3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.3,0,0,0,0,0,0,0,1.3,0,0.3,0,0,14.3,0,5.7,4.3,0,0,0,0.7,0,0,0,0,0,0,0.3,0,0,0,0,0,0,1,0,0,0,0,0,3.3,0,68.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2.7,1.7,0,0,0,3.3,0,19.3,5.3,5,0,0,90.7,0,0,0,0,0,0,0.3,0,0,0,0,0,2.7,4.3,0,1.8,0,2.5,2,8,45.7,6.7,36.3,2,0,70.7,95.7,NA,312,312,"PJ","MC","B","CP","009","FI","2"
"PJ-MC-BC010","16","001",0,0,0,0,0,0,0,0,0,221,76,78,9,8,0,0,0,0,0,0,0,0,0,0,243,85,81,0,0,0,0,0,0,0,0,0,2412,4852,4381,0,739,379,245,NA,0.0583,0,0,0,0.0387,0.0028,0,0,0,0.0168,0,0,0,26.6875,26.6875,30,0,0,30,107,0,56,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,281,56,0,0,0,505,0,0,0,0,29.7,36,129,0,0,74.7,0,0,0,44.5,11.8,1.7,10.7,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,23.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,6,0,0,0,0.3,10,1.7,11,1.3,0,0,0,2.7,0,0,0,0,0,0,2,0,0,0,1,0,0,0.7,0,0,0,0,0,3.3,0,43.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3,5,1.3,0,0,7,0,20.3,4,6.7,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,3.5,0,1.5,3,5.7,40,11,23.3,3,0,49.7,90.7,NA,NA,NA,"PJ","MC","B","CP","010","FI","3"
"PJ-MC-BC012","16","001",0,0,0,0,0,0,0,0,0,96,28,28,682,535,0,0,0,0,0,0,0,0,0,0,334,117,109,0,0,0,0,0,0,0,0,0,1774,5293,645,400,379,195,165,NA,0.2018,0,0,0,0.0051,0.1636,0,0,0,0.0331,0,0,0,15.375,15.375,61,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,4040,0,0,0,0,224,0,0,0,0,83,34.7,0,0,0,51.8,0,0,0,27,5,2,17.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42.7,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,18.3,1.7,6.7,2.3,0,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0,0,1.3,0,73.7,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0.3,0,0,5.7,0,21.7,2.3,6,0,0,87.3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,15.7,48,5.7,42.7,1.3,0,74,93.3,NA,0,0,"PJ","MC","B","CP","012","FI","2"
