subplot_id,sp_phase,year,speriod,can_cover_pt_tree,can_cover_pt_shrub,can_cover_pt_pgrass,can_cover_pt_pforb,can_cover_pt_agrass,can_cover_pt_aforb,can_cover_pt_forb,rcode,scode,pcode,ptype,sp_number,treatment
PJ-MC-CC015,1,9,1,4,22.7,27,2.3,0.3,1,0,PJ,MC,C,CP,15,CO
PJ-MC-CC035,1,9,1,13,20,14,4,0,1.7,0,PJ,MC,C,CP,35,CO
PJ-MC-CC038,1,9,1,7.7,11.7,16,7,0,0.7,0,PJ,MC,C,CP,38,CO
PJ-SV-CC008,1,9,1,2.3,26.7,8.3,4,0,10.3,0,PJ,SV,C,CP,8,CO
PJ-SV-CC014,1,9,1,4,23,15.3,5.7,0,11,0,PJ,SV,C,CP,14,CO
PJ-SV-CC025,1,9,1,4.7,27.7,7.7,10,0,1.3,0,PJ,SV,C,CP,25,CO
PJ-MC-CC008,2,9,1,47.3,9.3,5,1,0,0.3,0,PJ,MC,C,CP,8,CO
PJ-MC-CC011,2,9,1,49,6,12,2.3,0,0.3,0,PJ,MC,C,CP,11,CO
PJ-MC-CC019,2,9,1,46.3,9.7,6,5.3,0,0,0,PJ,MC,C,CP,19,CO
PJ-MC-CC020,2,9,1,15.7,13,4.3,6,0,0.3,0,PJ,MC,C,CP,20,CO
PJ-MC-CC026,2,9,1,38,16.7,13,1.3,0,1,0,PJ,MC,C,CP,26,CO
PJ-MC-CC029,2,9,1,14.7,16.3,8,5,0,0,0,PJ,MC,C,CP,29,CO
PJ-MC-CC034,2,9,1,23.7,13.3,13.7,2.7,0,2,0,PJ,MC,C,CP,34,CO
PJ-SV-CC024,2,9,1,13.7,12.7,5.7,9,0,2,0,PJ,SV,C,CP,24,CO
PJ-SV-CC027,2,9,1,32,5.7,1.7,1.3,0,0.7,0,PJ,SV,C,CP,27,CO
PJ-SV-CC030,2,9,1,18.3,18.7,5.3,9.3,0,3,0,PJ,SV,C,CP,30,CO
PJ-SV-CC031,2,9,1,7.7,25,9.3,10.3,0,5,0,PJ,SV,C,CP,31,CO
PJ-SV-CC034,2,9,1,33.3,17.3,6.3,5.3,0,2.3,0,PJ,SV,C,CP,34,CO
PJ-SV-CC039,2,9,1,13.7,21,3.7,8.7,0,0.7,0,PJ,SV,C,CP,39,CO
PJ-MC-CC004,3,9,1,50.7,4.7,2.7,0,0,1,0,PJ,MC,C,CP,4,CO
PJ-MC-CC006,3,9,1,44.3,5.7,6,0.7,0,0,0,PJ,MC,C,CP,6,CO
PJ-MC-CC009,3,9,1,35.3,1.7,8.7,1.3,0,0.3,0,PJ,MC,C,CP,9,CO
PJ-MC-CC024,3,9,1,71.7,0.7,2.7,0.3,0,0,0,PJ,MC,C,CP,24,CO
PJ-MC-CC032,3,9,1,59.7,0.3,4.7,0,0,0,0,PJ,MC,C,CP,32,CO
PJ-SV-CC001,3,9,1,42.7,5,4.7,1.3,0,0.7,0,PJ,SV,C,CP,1,CO
PJ-SV-CC002,3,9,1,52,0.7,0.7,0,0,1,0,PJ,SV,C,CP,2,CO
PJ-SV-CC010,3,9,1,41,6.7,0,1,0,0.3,0,PJ,SV,C,CP,10,CO
PJ-SV-CC012,3,9,1,27.7,5.3,2,1,0,0.3,0,PJ,SV,C,CP,12,CO
PJ-SV-CC015,3,9,1,43.3,0.7,1,1,0,0.3,0,PJ,SV,C,CP,15,CO
PJ-SV-CC019,3,9,1,42.3,6.3,2.7,0.3,0,0,0,PJ,SV,C,CP,19,CO
PJ-SV-CC021,3,9,1,45.3,3.3,3.3,1.3,0,1,0,PJ,SV,C,CP,21,CO
PJ-MC-BC005,1,9,1,2.3,5,26,9.7,1,20,0,PJ,MC,B,CP,5,FI
PJ-MC-BC006,1,9,1,2.7,16.3,23.7,9,0.7,14.3,0,PJ,MC,B,CP,6,FI
PJ-MC-BC008,1,9,1,3.7,13.7,17.3,12.3,6,21.3,0,PJ,MC,B,CP,8,FI
PJ-SR-BC002,1,9,1,4.3,4.3,28,17.3,1,1.7,0,PJ,SR,B,CP,2,FI
PJ-SR-BC003,1,9,1,1.3,9,24.3,21,1,1,0,PJ,SR,B,CP,3,FI
PJ-SR-BC011,1,9,1,2,10.7,29.3,9,2.3,2,0,PJ,SR,B,CP,11,FI
PJ-SR-BC012,1,9,1,0.3,6.3,37.3,15.7,1,3.7,0,PJ,SR,B,CP,12,FI
PJ-SR-BC013,1,9,1,6.3,6,24.3,21,0.3,1,0,PJ,SR,B,CP,13,FI
PJ-SV-BC003,1,9,1,0,9.3,2.7,9.7,0,7.3,0,PJ,SV,B,CP,3,FI
PJ-SV-BC012,1,9,1,0,10,2.3,9.3,0,16.3,0,PJ,SV,B,CP,12,FI
PJ-SV-BC014,1,9,1,0,1,1,4,0,19.3,0,PJ,SV,B,CP,14,FI
PJ-SV-BC030,1,9,1,0,2,2,11,0,28,0,PJ,SV,B,CP,30,FI
PJ-SV-BC035,1,9,1,0,0.3,0.7,12,0,18,0,PJ,SV,B,CP,35,FI
PJ-MC-BC002,2,9,1,3,9,19.7,4,0.3,22.3,0,PJ,MC,B,CP,2,FI
PJ-MC-BC003,2,9,1,1.3,2.7,19,9.3,0.7,22.7,0,PJ,MC,B,CP,3,FI
PJ-MC-BC004,2,9,1,0,0.3,9.3,4,0,36,0.7,PJ,MC,B,CP,4,FI
PJ-MC-BC009,2,9,1,2,1,23.3,8.3,0.7,26.7,0,PJ,MC,B,CP,9,FI
PJ-MC-BC012,2,9,1,0.7,6,22.7,6.3,0.7,23,0,PJ,MC,B,CP,12,FI
PJ-MC-BC013,2,9,1,0,5.7,24.7,10.3,1.3,22.7,0.3,PJ,MC,B,CP,13,FI
PJ-MC-BC017,2,9,1,1,10,22.7,12.3,0,16,0,PJ,MC,B,CP,17,FI
PJ-MC-BC021,2,9,1,6,2.3,13.3,5.7,6.3,15.3,0,PJ,MC,B,CP,21,FI
PJ-MC-BC022,2,9,1,0.3,2,22,8.3,2.7,25.3,0,PJ,MC,B,CP,22,FI
PJ-MC-BC031,2,9,1,0.3,2.3,19,7.3,1,17,0,PJ,MC,B,CP,31,FI
PJ-MC-BC032,2,9,1,0,2,24.3,5.7,0,23,0,PJ,MC,B,CP,32,FI
PJ-MC-BC034,2,9,1,0,1.7,22.3,3,0,26,0,PJ,MC,B,CP,34,FI
PJ-MC-BC036,2,9,1,0,0.7,22.3,8,2.7,30,0,PJ,MC,B,CP,36,FI
PJ-MC-BC038,2,9,1,4,3.7,22.3,5.3,0,21.7,0.7,PJ,MC,B,CP,38,FI
PJ-SR-BC016,2,9,1,1.3,1.7,26,7.7,0,3.3,0,PJ,SR,B,CP,16,FI
PJ-SR-BC017,2,9,1,4.3,1,15,6.3,0,0.3,0,PJ,SR,B,CP,17,FI
PJ-SR-BC034,2,9,1,4.7,2.3,14.7,7.3,0,1.3,0,PJ,SR,B,CP,34,FI
PJ-SV-BC005,2,9,1,0,4.3,2.3,10,0,20.7,0,PJ,SV,B,CP,5,FI
PJ-SV-BC007,2,9,1,1.3,6.7,2,6.3,0,14.7,0,PJ,SV,B,CP,7,FI
PJ-SV-BC008,2,9,1,0,6,1.7,5.7,0,25,0,PJ,SV,B,CP,8,FI
PJ-SV-BC020,2,9,1,4.7,1,0.3,3.3,0,16.7,0,PJ,SV,B,CP,20,FI
PJ-SV-BC022,2,9,1,0,2.3,0,7,0,34.7,0,PJ,SV,B,CP,22,FI
PJ-SV-BC023,2,9,1,0,3.3,0.7,6,0,34.7,0,PJ,SV,B,CP,23,FI
PJ-SV-BC026,2,9,1,2,1.7,0.3,6.3,0,11.7,0,PJ,SV,B,CP,26,FI
PJ-SV-BC028,2,9,1,19.7,10,1,4,0,0.7,0,PJ,SV,B,CP,28,FI
PJ-SV-BC029,2,9,1,14.3,3,0.7,4.3,0,16.3,0,PJ,SV,B,CP,29,FI
PJ-MC-BC010,3,9,1,2.7,1.7,21.3,13.3,0,13.7,0,PJ,MC,B,CP,10,FI
PJ-MC-BC020,3,9,1,4,1.7,15,4.3,6,20,0,PJ,MC,B,CP,20,FI
PJ-MC-BC025,3,9,1,4,3.7,9.3,3.3,4,10.7,0,PJ,MC,B,CP,25,FI
PJ-MC-BC026,3,9,1,7.3,1.7,14,7.3,3.7,5.3,0,PJ,MC,B,CP,26,FI
PJ-MC-BC030,3,9,1,13.7,4,8,3.7,1.7,22.3,0,PJ,MC,B,CP,30,FI
PJ-SR-BC022,3,9,1,21.3,0.7,11,7.3,0.7,3.3,0,PJ,SR,B,CP,22,FI
PJ-SR-BC024,3,9,1,27,1.3,5.7,1,0,7.7,0,PJ,SR,B,CP,24,FI
PJ-SR-BC027,3,9,1,33,0,1.3,0.7,0,4,0,PJ,SR,B,CP,27,FI
PJ-SR-BC028,3,9,1,25.3,0,4,0.3,0,2,0,PJ,SR,B,CP,28,FI
PJ-SR-BC029,3,9,1,26,0,2,0,0,12,0,PJ,SR,B,CP,29,FI
PJ-SR-BC030,3,9,1,9.7,0.7,2.3,0.7,0.3,10.3,0,PJ,SR,B,CP,30,FI
PJ-SR-BC037,3,9,1,17.7,0,0.3,0,0,1.7,0,PJ,SR,B,CP,37,FI
PJ-SV-BC016,3,9,1,9.7,3.3,0,0.3,0,0.3,0,PJ,SV,B,CP,16,FI
PJ-SV-BC032,3,9,1,5.3,0,0,0,0,9.3,0,PJ,SV,B,CP,32,FI
PJ-SV-BC037,3,9,1,8.7,0,0,0,0,11.3,0,PJ,SV,B,CP,37,FI
