"subplot_id","year","speriod","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"JP-GR-BC006","17","001",0,0,0,0,"JP","GR","B","CP","006","FI","1"
"JP-GR-BC009","17","001",1.5,0,1.5,0,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC013","17","001",0,0,0,0,"JP","GR","B","CP","013","FI","1"
"JP-GR-BC014","17","001",3.4,0,3.4,0,"JP","GR","B","CP","014","FI","2"
"JP-GR-BC018","17","001",3.2,0,3.2,0,"JP","GR","B","CP","018","FI","2"
"JP-GR-BC020","17","001",2.4,0,2.4,0,"JP","GR","B","CP","020","FI","1"
"JP-GR-BC026","17","001",1.6,0,1.6,0,"JP","GR","B","CP","026","FI","2"
"JP-GR-BC027","17","001",0,0,0,0,"JP","GR","B","CP","027","FI","1"
"JP-GR-BC030","17","001",2.2,2,0.2,0,"JP","GR","B","CP","030","FI","1"
"JP-GR-BC031","17","001",3,3,0,0,"JP","GR","B","CP","031","FI","2"
"JP-GR-BC033","17","001",16,4.3,11.7,0,"JP","GR","B","CP","033","FI","3"
"JP-GR-BC034","17","001",17.2,2.7,14.5,0,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC036","17","001",0.8,0,0.8,0,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC037","17","001",16.4,1.1,15.3,0,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC038","17","001",23.2,4.9,18.3,0,"JP","GR","B","CP","038","FI","3"
"JP-GR-CC003","17","001",45.9,16.9,29,0,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC004","17","001",27.3,11.1,16.2,0,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC006","17","001",28.3,6.8,21.5,0,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC007","17","001",41.6,17,24.6,0,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC008","17","001",30.9,14.2,16.7,0,"JP","GR","C","CP","008","CO","2"
"JP-GR-CC013","17","001",55.1,15.8,39.3,0,"JP","GR","C","CP","013","CO","3"
"JP-GR-CC016","17","001",36.1,7.9,27.7,0.5,"JP","GR","C","CP","016","CO","3"
"JP-GR-CC017","17","001",20.7,6.7,14,0,"JP","GR","C","CP","017","CO","2"
"JP-GR-CC018","17","001",60.3,14.7,45.6,0,"JP","GR","C","CP","018","CO","3"
"JP-GR-CC027","17","001",38.9,19.8,19.1,0,"JP","GR","C","CP","027","CO","2"
"JP-GR-CC029","17","001",7.4,1.3,6.1,0,"JP","GR","C","CP","029","CO","1"
"JP-GR-CC031","17","001",15,7.6,6.6,0.8,"JP","GR","C","CP","031","CO","1"
"JP-GR-CC033","17","001",29.9,16.6,13.3,0,"JP","GR","C","CP","033","CO","2"
"JP-GR-CC034","17","001",8.1,2.2,5.9,0,"JP","GR","C","CP","034","CO","1"
"JP-GR-CC038","17","001",8.3,4.4,3.8,0.1,"JP","GR","C","CP","038","CO","1"
"JP-GR-GC001","17","001",2.6,2.2,0.4,0,"JP","GR","G","CP","001","BM","3"
"JP-GR-GC003","17","001",2.3,2.3,0,0,"JP","GR","G","CP","003","BM","3"
"JP-GR-GC005","17","001",2,2,0,0,"JP","GR","G","CP","005","BM","3"
"JP-GR-GC010","17","001",1.4,1.1,0.3,0,"JP","GR","G","CP","010","BM","2"
"JP-GR-GC011","17","001",0.3,0.3,0,0,"JP","GR","G","CP","011","BM","1"
"JP-GR-GC015","17","001",2.4,1.5,0.9,0,"JP","GR","G","CP","015","BM","2"
"JP-GR-GC016","17","001",0.9,0.7,0.2,0,"JP","GR","G","CP","016","BM","2"
"JP-GR-GC018","17","001",1,0.8,0.2,0,"JP","GR","G","CP","018","BM","2"
"JP-GR-GC021","17","001",1,0.9,0.1,0,"JP","GR","G","CP","021","BM","1"
"JP-GR-GC026","17","001",0.4,0.3,0.1,0,"JP","GR","G","CP","026","BM","1"
"JP-GR-GC027","17","001",1.1,0.9,0.2,0,"JP","GR","G","CP","027","BM","1"
"JP-GR-GC028","17","001",1.1,1,0.1,0,"JP","GR","G","CP","028","BM","2"
"JP-GR-GC029","17","001",1.5,1,0.5,0,"JP","GR","G","CP","029","BM","3"
"JP-GR-GC031","17","001",1,1,0,0,"JP","GR","G","CP","031","BM","1"
"JP-GR-GC035","17","001",1.6,0.9,0.7,0,"JP","GR","G","CP","035","BM","2"
"JP-GR-MC001","17","001",0.4,0.2,0.2,0,"JP","GR","M","CP","001","ME","2"
"JP-GR-MC005","17","001",0.4,0.2,0.2,0,"JP","GR","M","CP","005","ME","1"
"JP-GR-MC006","17","001",0.1,0.1,0,0,"JP","GR","M","CP","006","ME","1"
"JP-GR-MC009","17","001",2.9,1,1.9,0,"JP","GR","M","CP","009","ME","3"
"JP-GR-MC012","17","001",0.4,0.3,0.1,0,"JP","GR","M","CP","012","ME","2"
"JP-GR-MC013","17","001",0.6,0.6,0,0,"JP","GR","M","CP","013","ME","2"
"JP-GR-MC018","17","001",2.3,0.8,1.5,0,"JP","GR","M","CP","018","ME","3"
"JP-GR-MC020","17","001",2.7,2.4,0.3,0,"JP","GR","M","CP","020","ME","3"
"JP-GR-MC021","17","001",0.3,0.3,0,0,"JP","GR","M","CP","021","ME","2"
"JP-GR-MC022","17","001",1.8,1.8,0,0,"JP","GR","M","CP","022","ME","2"
"JP-GR-MC026","17","001",0.6,0.3,0.3,0,"JP","GR","M","CP","026","ME","3"
"JP-GR-MC028","17","001",0.9,0.8,0.1,0,"JP","GR","M","CP","028","ME","3"
"JP-GR-MC029","17","001",1.1,0.8,0.3,0,"JP","GR","M","CP","029","ME","3"
"JP-GR-MC031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"JP-GR-MC039","17","001",0,0,0,0,"JP","GR","M","CP","039","ME","1"
"JP-ON-BC002","16","001",0,0,0,0,"JP","ON","B","CP","002","FI","2"
"JP-ON-BC005","16","001",0,0,0,0,"JP","ON","B","CP","005","FI","1"
"JP-ON-BC009","16","001",6.5,6.5,0,0,"JP","ON","B","CP","009","FI","2"
"JP-ON-BC014","16","001",0,0,0,0,"JP","ON","B","CP","014","FI","1"
"JP-ON-BC016","16","001",2.6,2.6,0,0,"JP","ON","B","CP","016","FI","3"
"JP-ON-BC017","16","001",7.4,7.4,0,0,"JP","ON","B","CP","017","FI","3"
"JP-ON-BC018","16","001",6.7,6.7,0,0,"JP","ON","B","CP","018","FI","3"
"JP-ON-BC021","16","001",0,0,0,0,"JP","ON","B","CP","021","FI","2"
"JP-ON-BC023","16","001",0,0,0,0,"JP","ON","B","CP","023","FI","1"
"JP-ON-BC024","16","001",12.6,12.6,0,0,"JP","ON","B","CP","024","FI","3"
"JP-ON-BC025","16","001",8.7,8.7,0,0,"JP","ON","B","CP","025","FI","3"
"JP-ON-BC027","16","001",0,0,0,0,"JP","ON","B","CP","027","FI","2"
"JP-ON-BC031","16","001",0,0,0,0,"JP","ON","B","CP","031","FI","2"
"JP-ON-BC032","16","001",9.7,9.7,0,0,"JP","ON","B","CP","032","FI","2"
"JP-ON-BC033","16","001",0,0,0,0,"JP","ON","B","CP","033","FI","2"
"JP-ON-BC035","16","001",1.7,1.7,0,0,"JP","ON","B","CP","035","FI","3"
"JP-ON-BC036","16","001",0,0,0,0,"JP","ON","B","CP","036","FI","2"
"JP-ON-BCD01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JP-ON-CC000","16","001",15.9,15.9,0,0,"JP","ON","C","CP","000","CO","2"
"JP-ON-CC002","16","001",19.6,19.6,0,0,"JP","ON","C","CP","002","CO","2"
"JP-ON-CC004","16","001",30.3,30.3,0,0,"JP","ON","C","CP","004","CO","3"
"JP-ON-CC006","16","001",11.5,11.5,0,0,"JP","ON","C","CP","006","CO","1"
"JP-ON-CC008","16","001",15.9,15.9,0,0,"JP","ON","C","CP","008","CO","2"
"JP-ON-CC012","16","001",12.5,12.5,0,0,"JP","ON","C","CP","012","CO","1"
"JP-ON-CC013","16","001",18.4,18.4,0,0,"JP","ON","C","CP","013","CO","1"
"JP-ON-CC014","16","001",2.8,2.8,0,0,"JP","ON","C","CP","014","CO","1"
"JP-ON-CC020","16","001",27.1,27.1,0,0,"JP","ON","C","CP","020","CO","2"
"JP-ON-CC024","16","001",16.6,16.6,0,0,"JP","ON","C","CP","024","CO","1"
"JP-ON-CC027","16","001",14.8,14.8,0,0,"JP","ON","C","CP","027","CO","2"
"JP-ON-CC028","16","001",18.1,18.1,0,0,"JP","ON","C","CP","028","CO","2"
"JP-ON-CC029","16","001",6.3,6.3,0,0,"JP","ON","C","CP","029","CO","1"
"JP-ON-CC030","16","001",23.9,23.9,0,0,"JP","ON","C","CP","030","CO","3"
"JP-ON-CC033","16","001",17.7,17.7,0,0,"JP","ON","C","CP","033","CO","2"
"JP-ON-CC035","16","001",36.8,36.8,0,0,"JP","ON","C","CP","035","CO","3"
"JP-ON-CC037","16","001",32.3,32.3,0,0,"JP","ON","C","CP","037","CO","3"
"JP-ON-CC038","16","001",15.4,15.4,0,0,"JP","ON","C","CP","038","CO","2"
"JP-ON-GC004","16","001",0.3,0.3,0,0,"JP","ON","G","CP","004","BM","1"
"JP-ON-GC005","16","001",0.2,0.2,0,0,"JP","ON","G","CP","005","BM","1"
"JP-ON-GC006","16","001",0.2,0.2,0,0,"JP","ON","G","CP","006","BM","1"
"JP-ON-GC010","16","001",0.2,0.2,0,0,"JP","ON","G","CP","010","BM","2"
"JP-ON-GC012","16","001",0.3,0.3,0,0,"JP","ON","G","CP","012","BM","1"
"JP-ON-GC013","16","001",0.5,0.5,0,0,"JP","ON","G","CP","013","BM","2"
"JP-ON-GC017","16","001",0.5,0.5,0,0,"JP","ON","G","CP","017","BM","3"
"JP-ON-GC018","16","001",0.6,0.6,0,0,"JP","ON","G","CP","018","BM","2"
