subplot_id,year,p_elevation,tree_cover_ttl,can_cover_pt_shrub,can_cover_pt_pgrass,can_cover_pt_agrass,fc_bare_gnd_fol_cvr,scode,ptype,sp_number,treatment,sp_phase
WJ-BM-BC002,17,1499,0,34.3,39,49,1.7,BM,CP,2,FI,1
WJ-BM-BC004,17,1499,0,23.7,36,70.3,2.3,BM,CP,4,FI,1
WJ-BM-BC011,17,1499,0,25.7,33.7,54.7,3.3,BM,CP,11,FI,1
WJ-BM-BC013,17,1499,0,21.3,42,45.7,2.7,BM,CP,13,FI,1
WJ-BM-BC014,17,1499,0,26.3,45.7,51,1.3,BM,CP,14,FI,1
WJ-BM-BC017,17,1499,0,18.3,39.3,58.3,0.3,BM,CP,17,FI,2
WJ-BM-BC018,17,1499,0,17.7,29,73.3,1.7,BM,CP,18,FI,2
WJ-BM-BC020,17,1499,0,25.7,52.7,46.3,2.7,BM,CP,20,FI,2
WJ-BM-BC022,17,1499,0,21.7,58,31,5,BM,CP,22,FI,1
WJ-BM-BC024,17,1499,0,23.3,26.7,69.3,2.7,BM,CP,24,FI,1
WJ-BM-BC025,17,1499,0,23,60,19,5.7,BM,CP,25,FI,1
WJ-BM-BC026,17,1499,0,19.3,54.7,31,4,BM,CP,26,FI,1
WJ-BM-BC027,17,1499,0,23.7,42.3,66.3,0,BM,CP,27,FI,2
WJ-BM-BC031,17,1499,6.1,24.7,67.7,29,0.3,BM,CP,31,FI,3
WJ-BM-BC035,NA,1499,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
WJ-BM-BC040,17,1499,4,18,54.3,20.3,2.7,BM,CP,40,FI,3
WJ-BM-CC001,17,1530,39.2,0.7,47.7,2.3,11,BM,CP,1,CO,3
WJ-BM-CC003,17,1530,23.1,9,64.3,5,9.7,BM,CP,3,CO,2
WJ-BM-CC004,17,1530,37.4,3.3,56.3,0.7,10,BM,CP,4,CO,3
WJ-BM-CC006,17,1530,21.3,9.7,67.3,7,4.7,BM,CP,6,CO,2
WJ-BM-CC007,17,1530,17.2,11.7,56.3,1.3,19,BM,CP,7,CO,1
WJ-BM-CC010,17,1530,43.9,12,65.3,2,6,BM,CP,10,CO,1
WJ-BM-CC013,17,1530,34.7,2.3,78,0.3,5.7,BM,CP,13,CO,3
WJ-BM-CC014,17,1530,33.8,6,62,0,8,BM,CP,14,CO,2
WJ-BM-CC018,17,1530,36.7,15,69,5,3.7,BM,CP,18,CO,2
WJ-BM-CC024,17,1530,37.1,6.7,59.7,2,4.3,BM,CP,24,CO,2
WJ-BM-CC026,17,1530,32.5,9.3,80.7,1,3.3,BM,CP,26,CO,2
WJ-BM-CC027,17,1530,20,16,61.3,2,12.3,BM,CP,27,CO,1
WJ-BM-CC028,17,1530,29.1,5.3,62.7,1,8,BM,CP,28,CO,2
WJ-BM-CC035,17,1530,26.5,20,50.7,11.3,6.3,BM,CP,35,CO,1
WJ-BM-CC036,17,1530,21.8,20.3,50.7,7,6.7,BM,CP,36,CO,2
WJ-BM-MC004,17,1557,0.9,53,61.7,5.3,1.7,BM,CP,4,ME,1
WJ-BM-MC005,17,1557,0.2,25.3,60.3,7.7,1,BM,CP,5,ME,2
WJ-BM-MC008,17,1557,0,40.3,64.7,8.3,4,BM,CP,8,ME,1
WJ-BM-MC011,17,1557,2.5,41.7,47.7,44,1.3,BM,CP,11,ME,2
WJ-BM-MC012,17,1557,0.4,27,51,3.7,2.7,BM,CP,12,ME,2
WJ-BM-MC013,17,1557,0.2,44,64.7,7,1.3,BM,CP,13,ME,2
WJ-BM-MC015,17,1557,0.7,46.3,52.3,30.7,2.3,BM,CP,15,ME,1
WJ-BM-MC017,17,1557,0,52,49,35.7,2.3,BM,CP,17,ME,1
WJ-BM-MC020,17,1557,0,42,52.3,16.3,3,BM,CP,20,ME,1
WJ-BM-MC022,17,1557,7.2,44.3,42.7,37.7,0.7,BM,CP,22,ME,2
WJ-BM-MC026,17,1557,0,45.7,73,19.7,1.7,BM,CP,26,ME,1
WJ-BM-MC033,17,1557,0.4,50.3,42,50.3,0.3,BM,CP,33,ME,2
WJ-BM-MC036,NA,1557,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
WJ-BM-MC037,17,1557,0.2,39.3,53.7,42,0.7,BM,CP,37,ME,3
WJ-BM-MC038,17,1557,0,38,52.7,38,1,BM,CP,38,ME,3
WJ-BM-MC039,17,1557,1.2,29,47.7,32.3,2,BM,CP,39,ME,3
WJ-BM-MC040,17,1557,0.5,32,54,15.3,0.7,BM,CP,40,ME,2
WJ-DR-BC002,17,1514,0,12.7,43.3,28.3,7.3,DR,CP,2,FI,1
WJ-DR-BC010,17,1514,0.1,7.7,40.7,22.7,15,DR,CP,10,FI,1
WJ-DR-BC011,17,1514,0,15,52.3,13.7,10.3,DR,CP,11,FI,1
WJ-DR-BC012,17,1514,0,5.3,40,26.7,7.7,DR,CP,12,FI,1
WJ-DR-BC017,17,1514,0,18.7,46.7,24.3,5.7,DR,CP,17,FI,2
WJ-DR-BC019,17,1514,0.3,9.3,31,16.3,18.3,DR,CP,19,FI,1
WJ-DR-BC023,17,1514,0,18,48.7,23.3,6.3,DR,CP,23,FI,3
WJ-DR-BC024,17,1514,11.9,10.7,40,15.3,19.3,DR,CP,24,FI,3
WJ-DR-BC025,17,1514,9.7,13,43.7,17.7,15,DR,CP,25,FI,2
WJ-DR-BC026,17,1514,1.9,8.7,50,3,16,DR,CP,26,FI,2
WJ-DR-BC028,17,1514,0,6,42.3,19,11.7,DR,CP,28,FI,1
WJ-DR-BC029,17,1514,0,23.3,38.7,34,6.7,DR,CP,29,FI,3
WJ-DR-BC031,17,1514,0,4.7,51.3,13,10,DR,CP,31,FI,1
WJ-DR-BC033,17,1514,0.2,19.3,40,16,18.7,DR,CP,33,FI,2
WJ-DR-BC034,17,1514,0,14.7,29,29,13.3,DR,CP,34,FI,2
WJ-DR-BC038,17,1514,0,27.7,25.7,7.3,29,DR,CP,38,FI,3
WJ-DR-CC003,17,1518,27.2,25.3,34.3,9.3,28,DR,CP,3,CO,1
