"subplot_id","year","speriod","herb_fuel_live_wd","herb_fuel_dead_wd","ispace_litter_load_wd","herb_fuel_stand_wd","tree_cover_ttl","tree_cvr_CELE3","tree_cvr_JUOC","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","tree_cvr_PIPO","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase","p_elevation","p_precip_mean"
"JP-GR-BC006","06","001",109,152,69,NA,6.1,0,0,4.4,1.7,0,0,"JP","GR","B","CP","006","FI","1",1836,341
"JP-GR-BC006","07","001",96,21,69,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","006","FI","1",1836,341
"JP-GR-BC006","08","001",64,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","006","FI","1",1836,341
"JP-GR-BC006","09","001",555,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","006","FI","1",1836,341
"JP-GR-BC006","10","001",915,155,75,NA,0,0,0,0,0,0,0,"JP","GR","B","CP","006","FI","1",1836,341
"JP-GR-BC006","13","001",496,101,109,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","006","FI","1",1836,341
"JP-GR-BC006","17","001",453,24,173,NA,0,0,0,0,0,0,0,"JP","GR","B","CP","006","FI","1",1836,341
"JP-GR-BC009","06","001",91,85,43,NA,12.2,0,0,1.5,10.7,0,0,"JP","GR","B","CP","009","FI","2",1836,341
"JP-GR-BC009","07","001",184,16,24,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","009","FI","2",1836,341
"JP-GR-BC009","08","001",304,91,29,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","009","FI","2",1836,341
"JP-GR-BC009","09","001",755,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","009","FI","2",1836,341
"JP-GR-BC009","10","001",1144,0,56,NA,0,0,0,0,0,0,0,"JP","GR","B","CP","009","FI","2",1836,341
"JP-GR-BC009","13","001",293,11,37,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","009","FI","2",1836,341
"JP-GR-BC009","17","001",845,29,469,NA,1.5,0,0,0,1.5,0,0,"JP","GR","B","CP","009","FI","2",1836,341
"JP-GR-BC009","17","001",845,29,469,NA,1.5,0,0,0,1.5,0,0,"JP","GR","B","CP","009","FI","2",1836,341
"JP-GR-BC013","06","001",112,85,35,NA,9.7,0,0,6.8,2.9,0,0,"JP","GR","B","CP","013","FI","1",1836,341
"JP-GR-BC013","07","001",280,91,109,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","013","FI","1",1836,341
"JP-GR-BC013","08","001",51,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","013","FI","1",1836,341
"JP-GR-BC013","09","001",296,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","013","FI","1",1836,341
"JP-GR-BC013","10","001",1016,11,0,NA,0,0,0,0,0,0,0,"JP","GR","B","CP","013","FI","1",1836,341
"JP-GR-BC013","13","001",424,136,80,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","013","FI","1",1836,341
"JP-GR-BC013","17","001",739,27,117,NA,0,0,0,0,0,0,0,"JP","GR","B","CP","013","FI","1",1836,341
"JP-GR-BC014","06","001",51,5,8,NA,16.8,0,0,8.6,8.2,0,0,"JP","GR","B","CP","014","FI","2",1836,341
"JP-GR-BC014","07","001",69,61,21,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","014","FI","2",1836,341
"JP-GR-BC014","08","001",35,40,0,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","014","FI","2",1836,341
"JP-GR-BC014","09","001",120,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","014","FI","2",1836,341
"JP-GR-BC014","10","001",251,16,45,NA,0,0,0,0,0,0,0,"JP","GR","B","CP","014","FI","2",1836,341
"JP-GR-BC014","11","001",96,13,61,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","014","FI","2",1836,341
"JP-GR-BC014","12","001",160,24,13,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","014","FI","2",1836,341
"JP-GR-BC014","13","001",176,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","014","FI","2",1836,341
"JP-GR-BC014","14","001",29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","014","FI","2",1836,341
"JP-GR-BC014","16","001",NA,NA,2120,163,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","014","FI","2",1836,341
"JP-GR-BC014","17","001",251,59,147,NA,3.4,0,0,0,3.4,0,0,"JP","GR","B","CP","014","FI","2",1836,341
"JP-GR-BC018","06","001",40,16,32,NA,11.8,0,0,0.4,11.4,0,0,"JP","GR","B","CP","018","FI","2",1836,341
"JP-GR-BC018","07","001",40,51,56,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","018","FI","2",1836,341
"JP-GR-BC018","08","001",45,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","018","FI","2",1836,341
"JP-GR-BC018","09","001",581,0,35,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","018","FI","2",1836,341
"JP-GR-BC018","10","001",515,5,11,NA,0,0,0,0,0,0,0,"JP","GR","B","CP","018","FI","2",1836,341
"JP-GR-BC018","13","001",408,117,187,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","018","FI","2",1836,341
"JP-GR-BC018","17","001",336,69,1334,NA,3.2,0,0,0,3.2,0,0,"JP","GR","B","CP","018","FI","2",1836,341
"JP-GR-BC020","06","001",56,75,37,NA,8.6,0,0,3.1,5.5,0,0,"JP","GR","B","CP","020","FI","1",1836,341
"JP-GR-BC020","07","001",144,125,64,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","020","FI","1",1836,341
"JP-GR-BC020","08","001",435,35,0,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","020","FI","1",1836,341
"JP-GR-BC020","09","001",320,0,165,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","020","FI","1",1836,341
"JP-GR-BC020","10","001",981,5,104,NA,0,0,0,0,0,0,0,"JP","GR","B","CP","020","FI","1",1836,341
"JP-GR-BC020","13","001",259,61,16,NA,NA,NA,NA,NA,NA,NA,NA,"JP","GR","B","CP","020","FI","1",1836,341
"JP-GR-BC020","17","001",1277,61,608,NA,2.4,0,0,0,2.4,0,0,"JP","GR","B","CP","020","FI","1",1836,341
