"subplot_id","year","speriod","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","rcode","scode","pcode","ptype","sp_number","treatment"
"JP-GR-BC006","06","001",6.1,4.4,1.7,"JP","GR","B","CP","006","FI"
"JP-GR-BC009","06","001",12.2,1.5,10.7,"JP","GR","B","CP","009","FI"
"JP-GR-BC013","06","001",9.7,6.8,2.9,"JP","GR","B","CP","013","FI"
"JP-GR-BC014","06","001",16.8,8.6,8.2,"JP","GR","B","CP","014","FI"
"JP-GR-BC018","06","001",11.8,0.4,11.4,"JP","GR","B","CP","018","FI"
"JP-GR-BC020","06","001",8.6,3.1,5.5,"JP","GR","B","CP","020","FI"
"JP-GR-BC026","06","001",22.2,6.6,15.6,"JP","GR","B","CP","026","FI"
"JP-GR-BC027","06","001",4.9,2,2.9,"JP","GR","B","CP","027","FI"
"JP-GR-BC030","06","001",12.2,5.6,6.6,"JP","GR","B","CP","030","FI"
"JP-GR-BC031","06","001",18.5,6.8,11.7,"JP","GR","B","CP","031","FI"
"JP-GR-BC033","06","001",47.1,16.6,30.5,"JP","GR","B","CP","033","FI"
"JP-GR-BC034","06","001",47.1,12.8,34.3,"JP","GR","B","CP","034","FI"
"JP-GR-BC036","06","001",22,2.3,19.7,"JP","GR","B","CP","036","FI"
"JP-GR-BC037","06","001",54.1,21.7,32.4,"JP","GR","B","CP","037","FI"
"JP-GR-BC038","06","001",42.3,13.2,29.1,"JP","GR","B","CP","038","FI"
"JP-GR-CC003","06","001",42.3,14.4,27.9,"JP","GR","C","CP","003","CO"
"JP-GR-CC004","06","001",22.6,9.6,13,"JP","GR","C","CP","004","CO"
"JP-GR-CC006","06","001",25.8,5.4,20.4,"JP","GR","C","CP","006","CO"
"JP-GR-CC007","06","001",37.8,15.3,22.5,"JP","GR","C","CP","007","CO"
"JP-GR-CC008","06","001",33.9,14.6,19.3,"JP","GR","C","CP","008","CO"
"JP-GR-CC013","06","001",49.8,16.5,33.3,"JP","GR","C","CP","013","CO"
"JP-GR-CC016","06","001",36.6,9.2,27.4,"JP","GR","C","CP","016","CO"
"JP-GR-CC017","06","001",16.1,6,10.1,"JP","GR","C","CP","017","CO"
"JP-GR-CC018","06","001",54.1,11.8,42.3,"JP","GR","C","CP","018","CO"
"JP-GR-CC027","06","001",27.9,12.8,15.1,"JP","GR","C","CP","027","CO"
"JP-GR-CC029","06","001",6.9,1.2,5.7,"JP","GR","C","CP","029","CO"
"JP-GR-CC031","06","001",12.5,6.8,5.7,"JP","GR","C","CP","031","CO"
"JP-GR-CC033","06","001",25.4,14.6,10.8,"JP","GR","C","CP","033","CO"
"JP-GR-CC034","06","001",5.8,1.4,4.4,"JP","GR","C","CP","034","CO"
"JP-GR-CC038","06","001",7.9,4.2,3.7,"JP","GR","C","CP","038","CO"
"JP-GR-GC001","06","001",33.9,17.8,16.1,"JP","GR","G","CP","001","BM"
"JP-GR-GC003","06","001",34.1,17.4,16.7,"JP","GR","G","CP","003","BM"
"JP-GR-GC005","06","001",24.2,14.2,10,"JP","GR","G","CP","005","BM"
"JP-GR-GC010","06","001",20.9,6.5,14.4,"JP","GR","G","CP","010","BM"
"JP-GR-GC011","06","001",12.9,4.7,8.2,"JP","GR","G","CP","011","BM"
"JP-GR-GC015","06","001",12.1,3.9,8.2,"JP","GR","G","CP","015","BM"
"JP-GR-GC016","06","001",16.1,6.6,9.5,"JP","GR","G","CP","016","BM"
"JP-GR-GC018","06","001",15.6,10.6,5,"JP","GR","G","CP","018","BM"
"JP-GR-GC021","06","001",10.8,3.9,6.9,"JP","GR","G","CP","021","BM"
"JP-GR-GC026","06","001",7.4,7.4,0,"JP","GR","G","CP","026","BM"
"JP-GR-GC027","06","001",10,5,5,"JP","GR","G","CP","027","BM"
"JP-GR-GC028","06","001",10.6,6.9,3.7,"JP","GR","G","CP","028","BM"
"JP-GR-GC029","06","001",21.4,16.6,4.8,"JP","GR","G","CP","029","BM"
"JP-GR-GC031","06","001",10.6,8.9,1.7,"JP","GR","G","CP","031","BM"
"JP-GR-GC035","06","001",14,13.6,0.4,"JP","GR","G","CP","035","BM"
"JP-GR-MC001","06","001",14.5,9.7,4.8,"JP","GR","M","CP","001","ME"
"JP-GR-MC005","06","001",4.2,0.6,3.6,"JP","GR","M","CP","005","ME"
"JP-GR-MC006","06","001",4.4,3.1,1.3,"JP","GR","M","CP","006","ME"
"JP-GR-MC009","06","001",34.6,23,11.6,"JP","GR","M","CP","009","ME"
"JP-GR-MC012","06","001",14.4,9.4,5,"JP","GR","M","CP","012","ME"
"JP-GR-MC013","06","001",10.5,6.2,4.3,"JP","GR","M","CP","013","ME"
"JP-GR-MC018","06","001",26.8,13.9,12.9,"JP","GR","M","CP","018","ME"
"JP-GR-MC020","06","001",44,32.1,11.9,"JP","GR","M","CP","020","ME"
"JP-GR-MC021","06","001",26.2,16.6,9.6,"JP","GR","M","CP","021","ME"
"JP-GR-MC022","06","001",19.4,9.8,9.6,"JP","GR","M","CP","022","ME"
"JP-GR-MC026","06","001",26,20.2,5.8,"JP","GR","M","CP","026","ME"
"JP-GR-MC028","06","001",31.3,16.4,14.9,"JP","GR","M","CP","028","ME"
"JP-GR-MC029","06","001",24.1,14.1,10,"JP","GR","M","CP","029","ME"
"JP-GR-MC031","06","001",20.3,11.2,9.1,"JP","GR","M","CP","031","ME"
"JP-GR-MC039","06","001",6.2,4.2,2,"JP","GR","M","CP","039","ME"
"JP-ON-BC002","06","001",10.9,10.9,0,"JP","ON","B","CP","002","FI"
"JP-ON-BC005","06","001",6.1,6.1,0,"JP","ON","B","CP","005","FI"
