"subplot_id","year","speriod","shrub_bio_ttl","shrub_1hr","shrub_10hr","herb_fuel_live_wd","herb_fuel_dead_wd","ispace_litter_load_wd","herb_fuel_stand_wd","tree_dns_ttl_JUOS","tree_dns_lt5_JUOS","tree_dns_5_50_JUOS","tree_dns_gt50_JUOS","tree_dns_ttl_PIED","tree_dns_lt5_PIED","tree_dns_5_50_PIED","tree_dns_gt50_PIED","tree_dns_ttl_PIMO","tree_dns_lt5_PIMO","tree_dns_5_50_PIMO","tree_dns_gt50_PIMO","can_cover_pt_tree","can_cover_pt_shrub","can_cover_pt_pgrass","can_cover_pt_pforb","can_cover_pt_agrass","can_cover_pt_aforb","can_cover_pt_forb","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","rcode","scode","pcode","ptype","sp_number","treatment"
"JP-GR-GC001","06","001",0,0,0,8,19,16,NA,182,0,0,182,364,0,0,364,0,0,0,0,0.7,5.7,13,1.3,1.7,0,0,33.9,17.8,16.1,"JP","GR","G","CP","001","BM"
"JP-GR-GC001","07","001",253,83,82,85,104,21,NA,0,0,0,0,0,0,0,0,0,0,0,0,24.7,6.3,9.3,0.7,2.3,0,0,NA,NA,NA,"JP","GR","G","CP","001","BM"
"JP-GR-GC001","08","001",59,24,16,104,24,11,NA,56,0,56,0,111,0,111,0,0,0,0,0,1.3,4.3,7.7,0.3,0,0.3,0,NA,NA,NA,"JP","GR","G","CP","001","BM"
"JP-GR-GC001","09","001",221,109,83,536,96,80,NA,111,0,111,0,0,0,0,0,0,0,0,0,1.7,7.3,17.7,0.7,3.7,1,0,NA,NA,NA,"JP","GR","G","CP","001","BM"
"JP-GR-GC001","10","001",207,121,80,491,91,40,NA,56,0,56,0,0,0,0,0,0,0,0,0,1.7,5.7,20,0.7,12,3,0,NA,NA,NA,"JP","GR","G","CP","001","BM"
"JP-GR-GC001","12","001",-503,-201,-173,360,1390,229,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.3,8.7,25,3,25.3,0,0,NA,NA,NA,"JP","GR","G","CP","001","BM"
"JP-GR-GC001","13","001",-204,-63,-54,NA,NA,NA,NA,278,0,278,0,111,0,111,0,0,0,0,0,2.3,8.3,25.7,1.7,20.7,0,0,NA,NA,NA,"JP","GR","G","CP","001","BM"
"JP-GR-GC001","17","001",-1033,-261,-339,872,208,424,NA,202,0,0,202,61,0,0,61,0,0,0,0,0.7,9.3,38.3,1.7,33,0.3,0,2.6,2.2,0.4,"JP","GR","G","CP","001","BM"
"JP-GR-GC003","06","001",0,0,0,29,51,21,NA,329,0,56,273,313,0,0,313,0,0,0,0,0,5.3,12,0.7,1,0,0,34.1,17.4,16.7,"JP","GR","G","CP","003","BM"
"JP-GR-GC003","07","001",440,139,130,69,64,21,NA,0,0,0,0,0,0,0,0,0,0,0,0,30.7,2.3,6.7,1,0.7,0,0,NA,NA,NA,"JP","GR","G","CP","003","BM"
"JP-GR-GC003","08","001",-153,-29,-25,224,109,16,NA,333,0,333,0,0,0,0,0,0,0,0,0,0,1.3,6,1,0,0,0,NA,NA,NA,"JP","GR","G","CP","003","BM"
"JP-GR-GC003","09","001",264,131,72,709,371,69,NA,222,0,222,0,0,0,0,0,0,0,0,0,0,1.3,19.3,0.3,1,1.7,0,NA,NA,NA,"JP","GR","G","CP","003","BM"
"JP-GR-GC003","10","001",231,119,23,1430,355,51,NA,111,0,111,0,0,0,0,0,0,0,0,0,0,3,29,2.7,10.7,4.3,0,NA,NA,NA,"JP","GR","G","CP","003","BM"
"JP-GR-GC003","12","001",313,171,45,240,811,184,NA,167,0,167,0,0,0,0,0,0,0,0,0,0.3,5.7,29.3,1,33,0,0,NA,NA,NA,"JP","GR","G","CP","003","BM"
"JP-GR-GC003","13","001",-319,-144,-62,285,264,216,NA,389,0,389,0,56,0,56,0,0,0,0,0,1.3,5,28.3,1.7,18.7,0,0,NA,NA,NA,"JP","GR","G","CP","003","BM"
"JP-GR-GC003","17","001",-330,-213,-54,493,144,488,NA,626,0,333,293,10,0,0,10,56,0,56,0,1.3,5.7,31.3,1,25.7,2.3,0,2.3,2.3,0,"JP","GR","G","CP","003","BM"
"JP-GR-GC005","06","001",0,0,0,32,56,32,NA,238,0,56,182,192,0,0,192,0,0,0,0,0,6,20,2.3,8.7,0,0,24.2,14.2,10,"JP","GR","G","CP","005","BM"
"JP-GR-GC005","07","001",1314,560,493,91,141,56,NA,0,0,0,0,0,0,0,0,0,0,0,0,21.3,5.7,12.3,1.7,4.3,0,0,NA,NA,NA,"JP","GR","G","CP","005","BM"
"JP-GR-GC005","08","001",1038,725,522,136,64,29,NA,167,0,167,0,0,0,0,0,0,0,0,0,1,5.7,13.7,1,0.7,0.3,0,NA,NA,NA,"JP","GR","G","CP","005","BM"
"JP-GR-GC005","09","001",1393,868,644,365,29,21,NA,111,0,111,0,0,0,0,0,0,0,0,0,1.3,9.7,24,1.7,4,2.3,0,NA,NA,NA,"JP","GR","G","CP","005","BM"
"JP-GR-GC005","10","001",1877,823,741,691,429,80,NA,945,889,56,0,0,0,0,0,0,0,0,0,1.3,6,24.3,1.7,10.7,5.7,0,NA,NA,NA,"JP","GR","G","CP","005","BM"
"JP-GR-GC005","12","001",5304,2249,2114,160,344,69,NA,111,0,111,0,0,0,0,0,0,0,0,0,2.3,5.3,17,2.3,26.7,0,0,NA,NA,NA,"JP","GR","G","CP","005","BM"
"JP-GR-GC005","13","001",-2995,-1207,-999,224,267,107,NA,222,0,222,0,0,0,0,0,0,0,0,0,1.7,9.3,20,1,21.3,0.3,0,NA,NA,NA,"JP","GR","G","CP","005","BM"
"JP-GR-GC005","17","001",-3521,-1694,-1409,325,64,1534,NA,192,0,0,192,10,0,0,10,0,0,0,0,3,9.3,23.7,1.3,30.3,1.3,0,2,2,0,"JP","GR","G","CP","005","BM"
"JP-GR-GC010","06","001",0,0,0,19,37,21,NA,141,0,0,141,379,0,56,323,0,0,0,0,0,12.3,8.7,0.3,0.7,0,0,20.9,6.5,14.4,"JP","GR","G","CP","010","BM"
"JP-GR-GC010","07","001",850,454,295,101,45,75,NA,0,0,0,0,0,0,0,0,0,0,0,0,19.7,8,6.3,1,0.3,0,0,NA,NA,NA,"JP","GR","G","CP","010","BM"
"JP-GR-GC010","08","001",1003,491,165,256,56,0,NA,56,0,56,0,0,0,0,0,0,0,0,0,0,6,6.3,0.3,0,0,0,NA,NA,NA,"JP","GR","G","CP","010","BM"
"JP-GR-GC010","09","001",1211,797,254,445,136,40,NA,56,0,56,0,0,0,0,0,0,0,0,0,0,8.7,18.7,0.7,0,0,0,NA,NA,NA,"JP","GR","G","CP","010","BM"
"JP-GR-GC010","10","001",1271,876,221,461,131,104,NA,56,0,56,0,0,0,0,0,0,0,0,0,0,9.7,16.3,1.3,1.3,2,0,NA,NA,NA,"JP","GR","G","CP","010","BM"
"JP-GR-GC010","12","001",1607,991,278,85,320,51,NA,111,0,111,0,0,0,0,0,0,0,0,0,0.3,12.3,22.7,0.3,0.3,0,0,NA,NA,NA,"JP","GR","G","CP","010","BM"
"JP-GR-GC010","13","001",-2059,-1181,-455,469,0,45,NA,167,0,167,0,56,0,56,0,0,0,0,0,0.7,15.3,27.7,1.7,10.7,0,0,NA,NA,NA,"JP","GR","G","CP","010","BM"
"JP-GR-GC010","16","001",NA,NA,NA,NA,NA,515,373,0,0,0,0,0,0,0,0,0,0,0,0,1,10.3,26,0.3,7.7,2.3,0,NA,NA,NA,"JP","GR","G","CP","010","BM"
"JP-GR-GC010","17","001",-1032,-587,-205,435,157,1144,NA,273,0,111,162,40,0,0,40,0,0,0,0,1.3,11,34.7,1.3,20.7,0.7,0,1.4,1.1,0.3,"JP","GR","G","CP","010","BM"
"JP-GR-GC011","06","001",0,0,0,56,219,67,NA,111,0,0,111,242,0,111,131,0,0,0,0,0,12.3,11.3,0.3,0.3,0,0,12.9,4.7,8.2,"JP","GR","G","CP","011","BM"
"JP-GR-GC011","07","001",-2321,-1131,-774,195,104,115,NA,0,0,0,0,0,0,0,0,0,0,0,0,19.3,9.3,15,0.7,0.7,0,0,NA,NA,NA,"JP","GR","G","CP","011","BM"
"JP-GR-GC011","08","001",-1517,-750,-469,355,256,120,NA,111,0,111,0,0,0,0,0,0,0,0,0,0.3,8,21,1,0.3,0,0,NA,NA,NA,"JP","GR","G","CP","011","BM"
"JP-GR-GC011","09","001",-2376,-1586,-819,829,101,56,NA,167,0,167,0,0,0,0,0,0,0,0,0,0.7,10,28,2.3,1.3,0,0,NA,NA,NA,"JP","GR","G","CP","011","BM"
"JP-GR-GC011","10","001",2040,1296,389,355,355,75,NA,56,0,56,0,56,0,56,0,0,0,0,0,0,11.3,25,2,4.3,2.3,0,NA,NA,NA,"JP","GR","G","CP","011","BM"
"JP-GR-GC011","12","001",2346,1647,626,176,400,120,NA,56,0,56,0,56,0,56,0,0,0,0,0,0.3,18,24.3,1.3,8,0,0,NA,NA,NA,"JP","GR","G","CP","011","BM"
"JP-GR-GC011","13","001",-2629,-1128,-614,381,67,101,NA,56,0,56,0,111,0,111,0,0,0,0,0,0.3,20.7,30,1.7,10,0,0,NA,NA,NA,"JP","GR","G","CP","011","BM"
