site,subplot,sp_phase,yst,year,kgha_1h,kgha_10h,kgha_100h,kgha_1000h,kgha_100_1000h,1h,10h,100h,1000h,100h_1000h,duff_litter_load,trt,treatment,TC,TDC,tree_cvr_SS
GR,11,1,1,2008,1964.426667,1178.72,494.3466667,0,494.3466667,1964.426667,1178.72,NA,NA,494.3466667,,Mastication,BM,10,0.1,
GR,21,1,1,2008,3332.426667,3108.8,2166.186667,0,2166.186667,3332.426667,3108.8,NA,NA,2166.186667,,Mastication,BM,9,0.09,
GR,26,1,1,2008,3182.72,3943.626667,3044.853333,0,3044.853333,3182.72,3943.626667,NA,NA,3044.853333,,Mastication,BM,5,0.05,
GR,27,1,1,2008,5521.706667,2969.813333,5603.093333,0,5603.093333,5521.706667,2969.813333,NA,NA,5603.093333,,Mastication,BM,13,0.13,
GR,31,1,1,2008,2955.466667,1250.72,4429.226667,0,4429.226667,2955.466667,1250.72,NA,NA,4429.226667,,Mastication,BM,15,0.15,
GR,10,2,1,2008,6324.053333,6329.973333,2715.893333,0,2715.893333,6324.053333,6329.973333,NA,NA,2715.893333,,Mastication,BM,24,0.24,
GR,15,2,1,2008,95.89333333,78.29333333,0,0,0,95.89333333,78.29333333,NA,NA,0,,Mastication,BM,22,0.22,
GR,16,2,1,2008,697.8133333,1121.706667,0,6298.986667,6298.986667,697.8133333,1121.706667,NA,NA,6298.986667,,Mastication,BM,14,0.14,
GR,18,2,1,2008,5052.853333,3583.68,0,0,0,5052.853333,3583.68,NA,NA,0,,Mastication,BM,18,0.18,
GR,28,2,1,2008,1678.773333,1942.293333,0,0,0,1678.773333,1942.293333,NA,NA,0,,Mastication,BM,9,0.09,
GR,35,2,1,2008,6780.853333,2163.893333,1814.826667,5543.146667,7357.973333,6780.853333,2163.893333,NA,NA,7357.973333,,Mastication,BM,23,0.23,
GR,1,3,1,2008,10472.8,6875.52,7664.533333,0,7664.533333,10472.8,6875.52,NA,NA,7664.533333,,Mastication,BM,35,0.35,
GR,3,3,1,2008,11925.97333,6888.746667,8355.573333,0,8355.573333,11925.97333,6888.746667,NA,NA,8355.573333,,Mastication,BM,33,0.33,
GR,5,3,1,2008,4875.306667,4608.96,89.06666667,0,89.06666667,4875.306667,4608.96,NA,NA,89.06666667,,Mastication,BM,23,0.23,
GR,29,3,1,2008,13689.44,6367.2,7890.453333,2032.906667,9923.36,13689.44,6367.2,NA,NA,9923.36,,Mastication,BM,24,0.24,
GR,11,1,5,2012,516.2666667,1316.213333,NA,NA,883.3373144,516.2666667,1316.213333,NA,NA,883.3373144,,Mastication,BM,10,0.1,
