subplot_id,year,speriod,shrub_bio_ttl,shrub_1hr,shrub_10hr,dwd_fuel_10h,dwd_fuel_100h,dwd_fuel_1000h_s,dwd_fuel_1000h_r,herb_fuel_live_ss,herb_fuel_dead_ss,ispace_litter_load_ss,herb_fuel_stand_ss,rcode,scode,pcode,ptype,sp_number,treatment
SW-SD-BC019,7,1,975,395,344,471,662,0,0,205,60,175,NA,SW,SD,B,CP,19,FP
SW-SD-BC019,9,1,328,135,122,956,221,0,0,40,5,110,NA,SW,SD,B,CP,19,FP
SW-SD-BC019,11,1,843,342,305,347,441,0,0,290,95,455,NA,SW,SD,B,CP,19,FP
SW-SD-BC019,14,1,2102,953,723,402,331,0,0,405,205,870,NA,SW,SD,B,CP,19,FP
SW-SD-BC026,7,1,6180,2424,2166,1067,882,266,0,270,20,715,NA,SW,SD,B,CP,26,FI
SW-SD-BC026,9,1,11,6,5,402,221,0,0,30,0,120,NA,SW,SD,B,CP,26,FI
SW-SD-BC026,11,1,61,26,18,319,110,0,0,580,215,120,NA,SW,SD,B,CP,26,FI
SW-SD-BC026,14,1,985,384,220,125,0,0,0,235,55,295,NA,SW,SD,B,CP,26,FI
SW-SD-BC043,7,1,1778,703,639,347,551,0,0,310,110,225,NA,SW,SD,B,CP,43,FP
SW-SD-BC043,9,1,0,0,0,319,662,0,0,35,5,5,NA,SW,SD,B,CP,43,FP
SW-SD-BC043,11,1,4,1,0,333,331,0,0,510,195,290,NA,SW,SD,B,CP,43,FP
SW-SD-BC043,14,1,34,15,11,69,0,0,0,580,555,385,NA,SW,SD,B,CP,43,FP
SW-SD-BC048,7,1,183,88,83,942,2206,266,0,105,10,950,NA,SW,SD,B,CP,48,FI
SW-SD-BC048,9,1,0,0,0,347,882,0,0,10,0,75,NA,SW,SD,B,CP,48,FI
SW-SD-BC048,11,1,136,47,20,263,441,0,0,430,140,90,NA,SW,SD,B,CP,48,FI
SW-SD-BC048,14,1,2466,1007,613,360,551,0,0,90,80,355,NA,SW,SD,B,CP,48,FI
SW-SD-BC048,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,265,SW,SD,B,CP,48,FI
SW-SD-BC054,7,1,558,225,205,430,551,862,0,280,50,155,NA,SW,SD,B,CP,54,FI
SW-SD-BC054,9,1,0,0,0,180,110,0,0,150,0,105,NA,SW,SD,B,CP,54,FI
SW-SD-BC054,11,1,0,0,0,166,331,0,0,435,480,195,NA,SW,SD,B,CP,54,FI
SW-SD-BC054,14,1,0,0,0,180,441,0,0,505,1000,280,NA,SW,SD,B,CP,54,FI
SW-SD-BC060,7,1,3033,1462,1395,388,221,0,0,375,30,150,NA,SW,SD,B,CP,60,FP
SW-SD-BC060,9,1,36,16,14,457,882,0,0,10,5,225,NA,SW,SD,B,CP,60,FP
SW-SD-BC060,11,1,34,16,15,374,221,0,0,325,2155,145,NA,SW,SD,B,CP,60,FP
SW-SD-BC060,14,1,40,18,16,610,441,0,0,340,520,320,NA,SW,SD,B,CP,60,FP
SW-SD-BC078,7,1,428,218,213,887,662,931,0,195,135,200,NA,SW,SD,B,CP,78,FP
SW-SD-BC078,9,1,59,29,26,582,1323,329,0,10,0,135,NA,SW,SD,B,CP,78,FP
SW-SD-BC078,11,1,745,353,288,430,1213,0,0,235,135,170,NA,SW,SD,B,CP,78,FP
SW-SD-BC078,14,1,1546,802,671,568,1323,556,0,200,510,305,NA,SW,SD,B,CP,78,FP
SW-SD-BC081,7,1,1399,600,561,1816,1434,1918,0,190,60,330,NA,SW,SD,B,CP,81,FI
SW-SD-BC081,9,1,0,0,0,707,0,0,0,0,0,25,NA,SW,SD,B,CP,81,FI
SW-SD-BC081,11,1,51,17,7,319,331,0,0,955,180,50,NA,SW,SD,B,CP,81,FI
SW-SD-BC081,14,1,1318,541,324,277,110,0,0,265,285,550,NA,SW,SD,B,CP,81,FI
SW-SD-BC081,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,410,SW,SD,B,CP,81,FI
SW-SD-BC091,7,1,1988,858,773,139,441,658,0,375,55,145,NA,SW,SD,B,CP,91,FP
SW-SD-BC091,9,1,0,0,0,499,662,0,0,45,10,160,NA,SW,SD,B,CP,91,FP
SW-SD-BC091,11,1,0,0,0,305,221,0,0,475,365,325,NA,SW,SD,B,CP,91,FP
SW-SD-BC091,14,1,9,4,2,236,331,0,0,400,545,135,NA,SW,SD,B,CP,91,FP
SW-SD-BC098,7,1,2447,1068,978,610,882,211,0,170,75,230,NA,SW,SD,B,CP,98,FI
SW-SD-BC098,9,1,0,0,0,291,221,0,0,10,0,110,NA,SW,SD,B,CP,98,FI
SW-SD-BC098,11,1,0,0,0,152,110,0,0,345,655,120,NA,SW,SD,B,CP,98,FI
SW-SD-BC098,14,1,0,0,0,277,331,0,0,345,725,105,NA,SW,SD,B,CP,98,FI
SW-SD-BC101,7,1,9660,4083,3744,665,772,0,0,195,50,1105,NA,SW,SD,B,CP,101,FI
SW-SD-BC101,9,1,0,0,0,125,110,0,0,85,0,65,NA,SW,SD,B,CP,101,FI
SW-SD-BC101,11,1,33,11,4,139,0,0,0,630,185,95,NA,SW,SD,B,CP,101,FI
SW-SD-BC101,14,1,586,245,160,222,110,0,0,215,550,400,NA,SW,SD,B,CP,101,FI
SW-SD-BC130,7,1,2971,1204,1102,693,882,0,0,150,10,485,NA,SW,SD,B,CP,130,FI
SW-SD-BC130,9,1,16,8,6,610,993,0,0,40,0,165,NA,SW,SD,B,CP,130,FI
SW-SD-BC130,11,1,84,31,15,42,0,0,0,725,860,175,NA,SW,SD,B,CP,130,FI
SW-SD-BC130,14,1,774,296,158,152,331,0,0,380,480,495,NA,SW,SD,B,CP,130,FI
SW-SD-BC130,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,1535,SW,SD,B,CP,130,FI
SW-SD-BC157,7,1,2108,937,874,1483,1654,3473,0,110,50,505,NA,SW,SD,B,CP,157,FI
SW-SD-BC157,9,1,11,5,5,804,993,0,0,50,5,400,NA,SW,SD,B,CP,157,FI
SW-SD-BC157,11,1,13,7,6,471,0,0,0,640,485,60,NA,SW,SD,B,CP,157,FI
SW-SD-BC157,14,1,116,54,43,499,662,0,0,845,595,450,NA,SW,SD,B,CP,157,FI
SW-SD-BC160,7,1,2852,1200,1100,1428,2206,1622,0,240,40,270,NA,SW,SD,B,CP,160,FI
SW-SD-BC160,9,1,0,0,0,624,0,0,0,15,0,30,NA,SW,SD,B,CP,160,FI
SW-SD-BC160,11,1,5,2,1,139,221,0,0,495,210,100,NA,SW,SD,B,CP,160,FI
SW-SD-BC160,14,1,1086,447,286,291,110,0,0,280,85,430,NA,SW,SD,B,CP,160,FI
SW-SD-BC163,7,1,1154,504,466,721,1654,2664,0,110,70,940,NA,SW,SD,B,CP,163,FP
SW-SD-BC163,9,1,0,0,0,360,441,0,0,5,5,155,NA,SW,SD,B,CP,163,FP
SW-SD-BC163,11,1,387,146,89,222,0,0,0,165,140,195,NA,SW,SD,B,CP,163,FP
SW-SD-BC163,14,1,1633,699,507,125,110,0,0,60,190,575,NA,SW,SD,B,CP,163,FP
SW-SD-BC163,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,170,SW,SD,B,CP,163,FP
SW-SD-BC170,7,1,941,429,401,333,662,0,0,215,25,320,NA,SW,SD,B,CP,170,FP
SW-SD-BC170,9,1,0,0,0,305,110,0,0,5,5,140,NA,SW,SD,B,CP,170,FP
SW-SD-BC170,11,1,162,56,24,457,221,0,0,380,70,110,NA,SW,SD,B,CP,170,FP
SW-SD-BC170,14,1,476,223,176,333,0,0,0,350,145,275,NA,SW,SD,B,CP,170,FP
SW-SD-BC214,7,1,5662,2312,2125,790,1875,3128,0,180,40,500,NA,SW,SD,B,CP,214,FP
SW-SD-BC214,9,1,0,0,0,527,441,0,0,15,15,105,NA,SW,SD,B,CP,214,FP
SW-SD-BC214,11,1,70,29,18,319,551,0,0,340,90,75,NA,SW,SD,B,CP,214,FP
SW-SD-BC214,14,1,667,308,237,166,441,0,0,400,780,310,NA,SW,SD,B,CP,214,FP
SW-SD-BC214,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,950,SW,SD,B,CP,214,FP
SW-SD-BC223,7,1,907,410,384,596,1434,806,0,305,110,240,NA,SW,SD,B,CP,223,FP
SW-SD-BC223,9,1,0,0,0,554,0,0,0,15,0,30,NA,SW,SD,B,CP,223,FP
SW-SD-BC223,11,1,435,157,70,194,0,0,0,490,30,110,NA,SW,SD,B,CP,223,FP
SW-SD-BC223,14,1,481,223,174,208,441,0,0,260,130,285,NA,SW,SD,B,CP,223,FP
SW-SD-BC223,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,755,SW,SD,B,CP,223,FP
SW-SD-CC005,7,1,-804,-307,-272,471,2095,2441,0,515,140,110,NA,SW,SD,C,CP,5,CO
SW-SD-CC005,9,1,1431,622,581,527,1323,1796,0,260,170,425,NA,SW,SD,C,CP,5,CO
SW-SD-CC005,11,1,1084,483,451,222,993,266,0,480,60,485,NA,SW,SD,C,CP,5,CO
SW-SD-CC005,14,1,1072,478,448,347,1875,0,0,250,300,710,NA,SW,SD,C,CP,5,CO
SW-SD-CC005,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,760,SW,SD,C,CP,5,CO
SW-SD-CC016,7,1,3649,1568,1443,873,1323,1381,0,445,330,365,NA,SW,SD,C,CP,16,CO
SW-SD-CC016,9,1,2254,928,845,291,993,0,0,20,255,210,NA,SW,SD,C,CP,16,CO
SW-SD-CC016,11,1,2452,992,902,402,3419,474,0,130,150,415,NA,SW,SD,C,CP,16,CO
SW-SD-CC016,14,1,2318,935,850,610,1323,1789,0,90,105,340,NA,SW,SD,C,CP,16,CO
SW-SD-CC019,7,1,2659,1155,1054,1566,1103,2457,0,565,140,210,NA,SW,SD,C,CP,19,CO
SW-SD-CC019,9,1,3464,1441,1320,901,1103,1043,0,260,135,640,NA,SW,SD,C,CP,19,CO
SW-SD-CC019,11,1,1618,758,717,291,1103,1362,0,400,50,330,NA,SW,SD,C,CP,19,CO
SW-SD-CC019,14,1,1348,594,552,430,1323,740,0,130,245,230,NA,SW,SD,C,CP,19,CO
SW-SD-CC019,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,685,SW,SD,C,CP,19,CO
SW-SD-CC030,7,1,2628,1035,934,554,1764,2572,0,355,135,265,NA,SW,SD,C,CP,30,CP
SW-SD-CC030,9,1,1702,715,661,707,2206,1773,0,65,150,505,NA,SW,SD,C,CP,30,CP
SW-SD-CC030,11,1,1930,812,750,638,1654,1056,0,200,0,445,NA,SW,SD,C,CP,30,CP
SW-SD-CC030,14,1,2338,955,850,721,1323,2023,0,140,190,295,NA,SW,SD,C,CP,30,CP
SW-SD-CC046,7,1,-1606,-624,-560,776,993,421,0,570,585,705,NA,SW,SD,C,CP,46,CP
