subplot_id,year,speriod,fc_bare_gnd_fol_cvr,can_cover_pt_shrub,can_cover_pt_pgrass,can_cover_pt_pforb,can_cover_pt_agrass,can_cover_pt_aforb,can_cover_pt_forb,rcode,scode,pcode,ptype,sp_number,treatment
SW-SD-BC019,7,1,32.7,16.3,14.7,3.7,16.3,4.7,0,SW,SD,B,CP,19,FP
SW-SD-BC019,11,1,51,6,18,2.3,10,1.7,0,SW,SD,B,CP,19,FP
SW-SD-BC019,14,1,29,11.3,20.3,1.7,5.7,2.3,0,SW,SD,B,CP,19,FP
SW-SD-BC026,7,1,15.7,47,9,3.3,19,7,0,SW,SD,B,CP,26,FI
SW-SD-BC026,11,1,28.7,1.3,13,9.7,32.3,2.7,0,SW,SD,B,CP,26,FI
SW-SD-BC026,14,1,15,8,18.3,14.7,4.7,4.3,0,SW,SD,B,CP,26,FI
SW-SD-BC043,7,1,20.7,17.7,12.3,5,34.3,5,0,SW,SD,B,CP,43,FP
SW-SD-BC043,11,1,39.7,1,25.7,4.7,13,1,0,SW,SD,B,CP,43,FP
SW-SD-BC043,14,1,11.3,1,30.7,8.7,12.3,7.3,0,SW,SD,B,CP,43,FP
SW-SD-BC048,7,1,14,32.7,10,0.7,30,5.7,0,SW,SD,B,CP,48,FI
SW-SD-BC048,11,1,26,0.7,20,1.3,36,3.3,0,SW,SD,B,CP,48,FI
SW-SD-BC048,14,1,11,9.3,18.3,2.7,5.3,3.3,0,SW,SD,B,CP,48,FI
SW-SD-BC048,17,1,7.7,11.3,37.7,1,49,1.7,0,SW,SD,B,CP,48,FI
SW-SD-BC054,7,1,17.7,24,29.3,1,8,4,0,SW,SD,B,CP,54,FI
SW-SD-BC054,11,1,22.7,0,52.3,0.7,2,0,0,SW,SD,B,CP,54,FI
SW-SD-BC054,14,1,5.7,0.3,58.3,1.7,0,0,0,SW,SD,B,CP,54,FI
SW-SD-BC060,7,1,20.7,23.3,22.3,5.7,21.3,2.3,0,SW,SD,B,CP,60,FP
SW-SD-BC060,11,1,37.7,1,38.7,1.7,5.7,1.3,0,SW,SD,B,CP,60,FP
SW-SD-BC060,14,1,16.7,1.3,47.7,2,1.7,3.3,0,SW,SD,B,CP,60,FP
SW-SD-BC078,7,1,31.7,31,17,1,22.3,4.3,0,SW,SD,B,CP,78,FP
SW-SD-BC078,11,1,49.7,4.3,18,0.7,9.7,0.7,0,SW,SD,B,CP,78,FP
SW-SD-BC078,14,1,27,12.7,24.3,0.7,4.3,1.3,0,SW,SD,B,CP,78,FP
SW-SD-BC081,7,1,20,35.3,6,0,28.7,5,0,SW,SD,B,CP,81,FI
SW-SD-BC081,11,1,24,1,12.3,0,41.7,3.3,0,SW,SD,B,CP,81,FI
SW-SD-BC081,14,1,5.7,8.3,15.3,2.7,24.3,7.7,0,SW,SD,B,CP,81,FI
SW-SD-BC081,17,1,6.3,17,30.7,0.3,60.3,0.3,0,SW,SD,B,CP,81,FI
SW-SD-BC091,7,1,22.7,21,25,13.3,15.3,0.7,0,SW,SD,B,CP,91,FP
SW-SD-BC091,11,1,31.7,0.7,45.7,9.3,5.7,0,0,SW,SD,B,CP,91,FP
SW-SD-BC091,14,1,12.3,3,59.3,6,2,0,0,SW,SD,B,CP,91,FP
SW-SD-BC098,7,1,27.3,29.3,31,0.3,13.3,0.3,0,SW,SD,B,CP,98,FI
SW-SD-BC098,11,1,27.3,0.3,49.7,0,8.7,1,0,SW,SD,B,CP,98,FI
SW-SD-BC098,14,1,9.7,0.3,58.7,0,1.3,0,0,SW,SD,B,CP,98,FI
SW-SD-BC101,7,1,10.3,40.7,5,1.7,35,2.7,0,SW,SD,B,CP,101,FI
SW-SD-BC101,11,1,26.3,3,11,1.7,36,4.3,0,SW,SD,B,CP,101,FI
SW-SD-BC101,14,1,10,8.3,12,3.7,8.7,4,0,SW,SD,B,CP,101,FI
SW-SD-BC130,7,1,13.3,35.7,7,3,20.3,2.3,0,SW,SD,B,CP,130,FI
SW-SD-BC130,11,1,27,0,15,2.3,35.7,4.3,0,SW,SD,B,CP,130,FI
SW-SD-BC130,14,1,5,5.3,26.7,3.7,12.3,4.7,0,SW,SD,B,CP,130,FI
SW-SD-BC130,17,1,5.7,7,41,2,46.7,0.3,0,SW,SD,B,CP,130,FI
SW-SD-BC157,7,1,22.7,30.3,15.7,4,24.3,0,0,SW,SD,B,CP,157,FI
SW-SD-BC157,11,1,32.3,0.7,31.3,9.3,18,2,0,SW,SD,B,CP,157,FI
SW-SD-BC157,14,1,11.7,3,37,11.7,2.7,0.3,0,SW,SD,B,CP,157,FI
SW-SD-BC160,7,1,20.3,37.7,8.3,0.3,25.7,2.3,0,SW,SD,B,CP,160,FI
SW-SD-BC160,11,1,31.3,0,15.3,2.7,34.7,1,0,SW,SD,B,CP,160,FI
SW-SD-BC160,14,1,13.3,5,14.3,1.3,11.7,4.7,0,SW,SD,B,CP,160,FI
SW-SD-BC163,7,1,13.3,42,9,0,20.7,1.7,0,SW,SD,B,CP,163,FP
SW-SD-BC163,11,1,57,3,6.7,0.7,18,0.7,0,SW,SD,B,CP,163,FP
