"subplot_id","year","speriod","shrub_bio_ttl","shrub_1hr","shrub_10hr","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"JP-GR-BC006","06","001",0,0,0,6.1,4.4,1.7,0,"JP","GR","B","CP","006","FI","1"
"JP-GR-BC006","07","001",-12661,-4281,-4578,NA,NA,NA,NA,"JP","GR","B","CP","006","FI","1"
"JP-GR-BC006","08","001",5,4,0,NA,NA,NA,NA,"JP","GR","B","CP","006","FI","1"
"JP-GR-BC006","09","001",75,11,18,NA,NA,NA,NA,"JP","GR","B","CP","006","FI","1"
"JP-GR-BC006","10","001",203,36,50,0,0,0,0,"JP","GR","B","CP","006","FI","1"
"JP-GR-BC006","13","001",1153,271,311,NA,NA,NA,NA,"JP","GR","B","CP","006","FI","1"
"JP-GR-BC006","17","001",1762,794,638,0,0,0,0,"JP","GR","B","CP","006","FI","1"
"JP-GR-BC009","06","001",0,0,0,12.2,1.5,10.7,0,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC009","07","001",-2309,-1048,-523,NA,NA,NA,NA,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC009","08","001",291,138,26,NA,NA,NA,NA,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC009","09","001",504,363,59,NA,NA,NA,NA,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC009","10","001",1092,773,143,0,0,0,0,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC009","13","001",742,444,35,NA,NA,NA,NA,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC009","17","001",NA,NA,NA,1.5,0,1.5,0,"JP","GR","B","CP","009","FI","2"
"JP-GR-BC013","06","001",0,0,0,9.7,6.8,2.9,0,"JP","GR","B","CP","013","FI","1"
"JP-GR-BC013","07","001",7897,3837,2892,NA,NA,NA,NA,"JP","GR","B","CP","013","FI","1"
"JP-GR-BC013","08","001",315,146,10,NA,NA,NA,NA,"JP","GR","B","CP","013","FI","1"
"JP-GR-BC013","09","001",556,434,32,NA,NA,NA,NA,"JP","GR","B","CP","013","FI","1"
"JP-GR-BC013","10","001",777,646,77,0,0,0,0,"JP","GR","B","CP","013","FI","1"
"JP-GR-BC013","13","001",1217,618,116,NA,NA,NA,NA,"JP","GR","B","CP","013","FI","1"
"JP-GR-BC013","17","001",1887,674,388,0,0,0,0,"JP","GR","B","CP","013","FI","1"
"JP-GR-BC014","06","001",0,0,0,16.8,8.6,8.2,0,"JP","GR","B","CP","014","FI","2"
"JP-GR-BC014","07","001",2627,1296,890,NA,NA,NA,NA,"JP","GR","B","CP","014","FI","2"
"JP-GR-BC014","08","001",512,306,171,NA,NA,NA,NA,"JP","GR","B","CP","014","FI","2"
"JP-GR-BC014","09","001",909,621,322,NA,NA,NA,NA,"JP","GR","B","CP","014","FI","2"
"JP-GR-BC014","10","001",-958,-318,-201,0,0,0,0,"JP","GR","B","CP","014","FI","2"
"JP-GR-BC014","13","001",3487,1042,770,NA,NA,NA,NA,"JP","GR","B","CP","014","FI","2"
"JP-GR-BC014","17","001",3618,1659,1085,3.4,0,3.4,0,"JP","GR","B","CP","014","FI","2"
"JP-GR-BC018","06","001",0,0,0,11.8,0.4,11.4,0,"JP","GR","B","CP","018","FI","2"
"JP-GR-BC018","07","001",4222,2492,1622,NA,NA,NA,NA,"JP","GR","B","CP","018","FI","2"
"JP-GR-BC018","08","001",938,374,239,NA,NA,NA,NA,"JP","GR","B","CP","018","FI","2"
"JP-GR-BC018","09","001",2564,1118,870,NA,NA,NA,NA,"JP","GR","B","CP","018","FI","2"
"JP-GR-BC018","10","001",3254,1003,880,0,0,0,0,"JP","GR","B","CP","018","FI","2"
"JP-GR-BC018","13","001",3374,1293,985,NA,NA,NA,NA,"JP","GR","B","CP","018","FI","2"
"JP-GR-BC018","17","001",4059,916,819,3.2,0,3.2,0,"JP","GR","B","CP","018","FI","2"
"JP-GR-BC020","06","001",0,0,0,8.6,3.1,5.5,0,"JP","GR","B","CP","020","FI","1"
"JP-GR-BC020","07","001",-4213,-1605,-1269,NA,NA,NA,NA,"JP","GR","B","CP","020","FI","1"
"JP-GR-BC020","08","001",-284,-76,-60,NA,NA,NA,NA,"JP","GR","B","CP","020","FI","1"
"JP-GR-BC020","09","001",-854,-369,-282,NA,NA,NA,NA,"JP","GR","B","CP","020","FI","1"
"JP-GR-BC020","10","001",-914,-247,-221,0,0,0,0,"JP","GR","B","CP","020","FI","1"
"JP-GR-BC020","13","001",1784,458,256,NA,NA,NA,NA,"JP","GR","B","CP","020","FI","1"
"JP-GR-BC020","17","001",4132,793,1106,2.4,0,2.4,0,"JP","GR","B","CP","020","FI","1"
"JP-GR-BC026","06","001",0,0,0,22.2,6.6,15.6,0,"JP","GR","B","CP","026","FI","2"
"JP-GR-BC026","07","001",2329,1044,694,NA,NA,NA,NA,"JP","GR","B","CP","026","FI","2"
"JP-GR-BC026","08","001",205,88,63,NA,NA,NA,NA,"JP","GR","B","CP","026","FI","2"
"JP-GR-BC026","09","001",243,60,61,NA,NA,NA,NA,"JP","GR","B","CP","026","FI","2"
"JP-GR-BC026","10","001",-574,-150,-147,0,0,0,0,"JP","GR","B","CP","026","FI","2"
"JP-GR-BC026","13","001",736,157,121,NA,NA,NA,NA,"JP","GR","B","CP","026","FI","2"
"JP-GR-BC026","17","001",-1350,-670,-470,1.6,0,1.6,0,"JP","GR","B","CP","026","FI","2"
"JP-GR-BC027","06","001",0,0,0,4.9,2,2.9,0,"JP","GR","B","CP","027","FI","1"
"JP-GR-BC027","07","001",4637,1372,934,NA,NA,NA,NA,"JP","GR","B","CP","027","FI","1"
"JP-GR-BC027","08","001",782,147,164,NA,NA,NA,NA,"JP","GR","B","CP","027","FI","1"
"JP-GR-BC027","09","001",608,236,74,NA,NA,NA,NA,"JP","GR","B","CP","027","FI","1"
"JP-GR-BC027","10","001",2150,876,393,0,0,0,0,"JP","GR","B","CP","027","FI","1"
"JP-GR-BC027","13","001",1799,1034,473,NA,NA,NA,NA,"JP","GR","B","CP","027","FI","1"
"JP-GR-BC027","17","001",4421,1548,1345,0,0,0,0,"JP","GR","B","CP","027","FI","1"
"JP-GR-BC030","06","001",0,0,0,12.2,5.6,6.6,0,"JP","GR","B","CP","030","FI","1"
"JP-GR-BC030","07","001",3711,2450,1077,NA,NA,NA,NA,"JP","GR","B","CP","030","FI","1"
"JP-GR-BC030","08","001",338,177,46,NA,NA,NA,NA,"JP","GR","B","CP","030","FI","1"
"JP-GR-BC030","09","001",741,490,120,NA,NA,NA,NA,"JP","GR","B","CP","030","FI","1"
"JP-GR-BC030","10","001",931,558,165,0,0,0,0,"JP","GR","B","CP","030","FI","1"
"JP-GR-BC030","13","001",2547,582,626,NA,NA,NA,NA,"JP","GR","B","CP","030","FI","1"
"JP-GR-BC030","17","001",-2590,-1058,-598,2.2,2,0.2,0,"JP","GR","B","CP","030","FI","1"
"JP-GR-BC031","06","001",0,0,0,18.5,6.8,11.7,0,"JP","GR","B","CP","031","FI","2"
"JP-GR-BC031","07","001",4223,2302,1005,NA,NA,NA,NA,"JP","GR","B","CP","031","FI","2"
"JP-GR-BC031","08","001",-1243,-555,-435,NA,NA,NA,NA,"JP","GR","B","CP","031","FI","2"
"JP-GR-BC031","09","001",-1996,-693,-582,NA,NA,NA,NA,"JP","GR","B","CP","031","FI","2"
"JP-GR-BC031","10","001",-2511,-951,-855,0,0,0,0,"JP","GR","B","CP","031","FI","2"
"JP-GR-BC031","13","001",6872,1554,1863,NA,NA,NA,NA,"JP","GR","B","CP","031","FI","2"
"JP-GR-BC031","17","001",-5148,-2329,-1728,3,3,0,0,"JP","GR","B","CP","031","FI","2"
"JP-GR-BC033","06","001",0,0,0,47.1,16.6,30.5,0,"JP","GR","B","CP","033","FI","3"
"JP-GR-BC033","07","001",1071,247,250,NA,NA,NA,NA,"JP","GR","B","CP","033","FI","3"
"JP-GR-BC033","08","001",-381,-159,-133,NA,NA,NA,NA,"JP","GR","B","CP","033","FI","3"
"JP-GR-BC033","09","001",-504,-235,-194,NA,NA,NA,NA,"JP","GR","B","CP","033","FI","3"
"JP-GR-BC033","10","001",660,168,146,0,0,0,0,"JP","GR","B","CP","033","FI","3"
"JP-GR-BC033","13","001",1973,470,422,NA,NA,NA,NA,"JP","GR","B","CP","033","FI","3"
"JP-GR-BC033","17","001",-1683,-418,-442,16,4.3,11.7,0,"JP","GR","B","CP","033","FI","3"
"JP-GR-BC034","06","001",0,0,0,47.1,12.8,34.3,0,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC034","07","001",796,254,243,NA,NA,NA,NA,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC034","08","001",-92,-14,-19,NA,NA,NA,NA,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC034","09","001",-98,-123,-60,NA,NA,NA,NA,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC034","10","001",-315,-86,-94,0,0,0,0,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC034","13","001",1056,289,295,NA,NA,NA,NA,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC034","17","001",-1047,-479,-416,17.2,2.7,14.5,0,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC036","06","001",0,0,0,22,2.3,19.7,0,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC036","07","001",4952,2682,1835,NA,NA,NA,NA,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC036","08","001",579,398,199,NA,NA,NA,NA,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC036","09","001",1306,434,351,NA,NA,NA,NA,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC036","10","001",2817,1240,938,0,0,0,0,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC036","13","001",-1943,-834,-470,NA,NA,NA,NA,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC036","17","001",-2479,-848,-725,0.8,0,0.8,0,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC037","06","001",0,0,0,54.1,21.7,32.4,0,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC037","07","001",957,376,360,NA,NA,NA,NA,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC037","08","001",84,50,38,NA,NA,NA,NA,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC037","09","001",153,44,50,NA,NA,NA,NA,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC037","10","001",240,18,59,0,0,0,0,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC037","13","001",365,64,95,NA,NA,NA,NA,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC037","17","001",-371,-116,-107,16.4,1.1,15.3,0,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC038","06","001",0,0,0,42.3,13.2,29.1,0,"JP","GR","B","CP","038","FI","3"
"JP-GR-BC038","07","001",806,391,311,NA,NA,NA,NA,"JP","GR","B","CP","038","FI","3"
"JP-GR-BC038","08","001",229,275,160,NA,NA,NA,NA,"JP","GR","B","CP","038","FI","3"
"JP-GR-BC038","09","001",370,331,200,NA,NA,NA,NA,"JP","GR","B","CP","038","FI","3"
"JP-GR-BC038","10","001",644,229,211,0,0,0,0,"JP","GR","B","CP","038","FI","3"
"JP-GR-BC038","13","001",923,285,269,NA,NA,NA,NA,"JP","GR","B","CP","038","FI","3"
"JP-GR-BC038","17","001",-1530,-257,-416,23.2,4.9,18.3,0,"JP","GR","B","CP","038","FI","3"
"JP-GR-CC003","06","001",0,0,0,42.3,14.4,27.9,0,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","07","001",1105,420,360,NA,NA,NA,NA,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","08","001",-442,-189,-164,NA,NA,NA,NA,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","09","001",739,460,329,NA,NA,NA,NA,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","10","001",587,92,136,NA,NA,NA,NA,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","12","001",1232,191,314,NA,NA,NA,NA,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","13","001",1338,138,278,NA,NA,NA,NA,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","17","001",930,200,271,45.9,16.9,29,0,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC004","06","001",0,0,0,22.6,9.6,13,0,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","07","001",604,236,137,NA,NA,NA,NA,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","08","001",-340,-171,-108,NA,NA,NA,NA,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","09","001",589,473,289,NA,NA,NA,NA,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","10","001",683,307,167,NA,NA,NA,NA,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","12","001",-667,-183,-153,NA,NA,NA,NA,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","13","001",372,116,95,NA,NA,NA,NA,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","17","001",-174,-60,-41,27.3,11.1,16.2,0,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC006","06","001",0,0,0,25.8,5.4,20.4,0,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","07","001",1090,439,265,NA,NA,NA,NA,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","08","001",1186,538,333,NA,NA,NA,NA,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","09","001",-1157,-567,-305,NA,NA,NA,NA,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","10","001",1384,582,388,NA,NA,NA,NA,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","12","001",1151,527,319,NA,NA,NA,NA,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","13","001",2235,250,432,NA,NA,NA,NA,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","17","001",-866,-400,-289,28.3,6.8,21.5,0,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC007","06","001",0,0,0,37.8,15.3,22.5,0,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC007","07","001",-480,-204,-171,NA,NA,NA,NA,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC007","08","001",-129,-69,-54,NA,NA,NA,NA,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC007","09","001",74,60,34,NA,NA,NA,NA,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC007","10","001",88,49,26,NA,NA,NA,NA,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC007","12","001",88,14,10,NA,NA,NA,NA,"JP","GR","C","CP","007","CO","3"
